type,id,mac,rssi,rate,noise_floor,fft_gain,agc_gain,channel,local_timestamp,sig_len,rx_state,len,first_word,data
CSI_DATA,41941,98:4a:6b:31:4a:10,-57,11,-99,-50,57,11,422573878,83,0,256,0,"[0,0,0,0,0,0,0,0,0,11,-5,10,-9,7,-10,5,-12,0,-11,-5,-10,-7,-6,-11,-1,-12,2,-12,6,-10,9,-7,11,-3,12,0,11,3,10,7,7,10,2,12,-1,12,-5,11,-9,9,-11,6,-14,1,-12,-2,-11,-7,-9,-10,-3,-11,1,-11,0,0,7,-9,10,-5,11,-1,10,1,7,3,5,6,2,6,1,7,-1,7,-3,6,-5,5,-5,3,-5,1,-5,0,-3,-2,-3,-2,-2,-3,-1,-5,0,-5,1,-5,2,-3,2,-2,3,-1,3,0,3,1,2,2,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,15,11,12,16,7,19,0,19,-7,14,-15,7,-22,-1,-24,-11,-22,-20,-15,-25,-6,-27,5,-23,16,-14,25,-2,29,11,28,23,23,32,11,34,-3,29,-18,20,-29,6,-36,-10,-37,-25,-31,-37,-16,-41,0,-40,18,0,0,-14,41,5,40,20,33,32,22,36,5,33,-9,25,-22,12,-29,-1,-32,-14,-27,-23,-18,-27,-5,-25,6,-20,16,-11,23,0,25,10,22,18,15,23,6,22,-3,19,-11,10,-18,2,-19,-5,-18,-11,-14,-15,-7,-15,-1,-14,5,0,0,0,0,0,0]"
CSI_DATA,41942,98:4a:6b:31:4a:10,-58,11,-99,-48,57,11,422582621,83,0,256,0,"[0,0,0,0,0,0,0,0,7,-9,9,-7,12,-2,12,1,11,4,9,8,4,12,1,12,-2,12,-6,11,-9,8,-11,4,-12,1,-12,-3,-11,-6,-8,-9,-4,-11,-2,-12,2,-12,6,-11,9,-8,12,-6,13,-2,13,2,12,6,9,8,6,12,1,12,0,0,-6,11,-8,7,-8,4,-11,1,-8,-1,-8,-3,-6,-6,-3,-6,-1,-7,1,-6,2,-7,2,-4,3,-4,4,-2,4,-1,4,1,3,1,3,2,2,3,1,3,1,4,0,4,-1,3,-2,3,-3,2,-3,1,-3,0,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-12,2,-15,-3,-17,-11,-14,-17,-8,-20,-1,-19,8,-14,17,-7,23,3,24,14,20,23,12,26,1,25,-11,18,-22,7,-28,-7,-29,-20,-24,-30,-13,-34,1,-30,17,-19,29,-4,35,12,35,28,28,37,13,40,-4,35,-22,0,0,3,-40,-14,-36,-28,-26,-36,-11,-35,6,-28,20,-14,29,0,33,13,28,24,18,29,4,25,-8,18,-19,7,-24,-4,-25,-14,-19,-22,-11,-23,-1,-19,9,-13,17,-4,20,4,19,12,14,17,7,17,0,15,-6,9,-12,3,-14,0,0,0,0,0,0]"
CSI_DATA,41943,98:4a:6b:31:4a:10,-52,11,-99,10,37,11,422591372,83,0,256,0,"[0,0,0,0,0,0,0,0,20,-6,20,0,20,9,16,16,9,18,2,23,-4,20,-11,18,-18,16,-20,9,-23,-2,-23,-6,-18,-16,-9,-23,-4,-23,2,-25,11,-23,13,-16,18,-9,23,-2,23,6,20,13,16,20,11,23,4,23,-6,20,-13,20,-20,9,0,0,-23,-4,-18,-11,-13,-13,-9,-18,-2,-13,4,-16,6,-9,11,-6,13,-4,13,-2,16,2,13,4,9,4,6,9,2,9,-2,9,-4,11,-4,6,-6,6,-6,6,-9,0,-4,-2,-4,-4,-6,-6,-2,-4,0,-9,2,-4,2,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-9,25,-20,11,-27,-2,-32,-13,-32,-29,-25,-36,-16,-41,4,-36,23,-25,39,-6,46,11,48,32,39,46,23,50,0,48,-25,36,-41,16,-59,-11,-62,-36,-48,-57,-32,-69,-2,-62,25,-48,50,-18,69,6,76,41,66,64,41,0,0,76,-23,52,-46,32,-69,-4,-66,-29,-62,-50,-43,-59,-16,-57,11,-41,36,-23,50,2,52,23,50,39,32,48,11,43,-13,34,-29,20,-39,-2,-43,-18,-39,-32,-23,-36,-9,-36,4,-27,18,-20,25,-2,32,9,27,18,23,23,11,0,0,0,0,0,0]"
CSI_DATA,41944,98:4a:6b:31:4a:10,-58,11,-99,-47,57,11,422600607,83,0,256,0,"[0,0,0,0,0,0,0,0,-7,-8,-3,-9,0,-11,5,-10,9,-7,11,-3,13,1,10,2,8,7,5,9,1,10,-2,11,-7,9,-9,5,-10,3,-11,-1,-11,-4,-8,-8,-3,-9,1,-10,4,-11,8,-11,10,-7,14,-3,13,3,8,5,9,9,3,14,0,0,-5,10,-8,7,-9,5,-9,1,-4,-1,-3,-4,-3,-5,-2,-5,0,-5,2,-3,2,-4,3,-2,4,-2,3,0,3,1,2,2,2,3,2,4,1,4,-1,2,-2,3,-2,3,-3,2,-3,0,-2,0,-2,-2,-2,-3,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-9,-14,-5,-16,-1,-16,5,-11,13,-7,20,0,21,7,19,15,15,22,9,26,-1,24,-9,17,-20,10,-26,-1,-27,-14,-24,-24,-17,-30,-5,-32,8,-26,20,-16,28,-3,32,9,33,24,27,34,19,38,1,39,-15,30,-27,0,0,-1,-40,-17,-34,-29,-23,-36,-9,-32,4,-27,16,-19,24,-7,30,7,30,17,24,24,11,27,1,23,-10,16,-19,7,-23,-3,-23,-11,-19,-17,-11,-19,-4,-20,3,-17,11,-9,16,-3,19,4,15,10,13,14,8,15,1,14,-4,0,0,0,0,0,0]"
CSI_DATA,41945,98:4a:6b:31:4a:10,-58,11,-99,-47,57,11,422610176,83,0,256,0,"[0,0,0,0,0,0,0,0,11,3,8,7,5,10,1,11,-2,11,-5,10,-9,7,-11,3,-11,0,-11,-4,-8,-8,-7,-10,-1,-11,2,-10,5,-10,9,-8,10,-5,11,-1,11,3,10,5,7,9,5,10,0,13,-3,11,-8,10,-10,7,-11,3,-11,-2,0,0,-8,-7,-4,-9,-2,-9,1,-9,3,-7,5,-5,7,-3,5,-2,7,0,4,3,4,3,4,4,2,4,0,4,0,4,-2,3,-2,2,-3,2,-3,1,-3,0,-3,-1,-2,-2,-3,-2,-1,-3,0,-2,1,-3,2,-2,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,15,-1,14,-8,10,-13,4,-19,-3,-20,-11,-17,-19,-11,-23,-2,-21,7,-19,16,-9,23,1,26,13,24,22,16,28,4,29,-7,23,-20,13,-28,-1,-33,-15,-29,-28,-21,-35,-8,-36,7,-29,23,-17,36,-1,39,16,36,0,0,38,11,39,-5,32,-21,19,-32,3,-35,-11,-33,-23,-23,-29,-9,-29,4,-24,16,-14,23,-2,27,9,24,19,17,23,5,23,-3,19,-14,10,-19,1,-21,-7,-19,-14,-14,-19,-5,-19,2,-15,8,-9,13,-3,15,3,14,8,11,0,0,0,0,0,0]"
CSI_DATA,41946,98:4a:6b:31:4a:10,-58,11,-99,-47,57,11,422618636,83,0,256,0,"[0,0,0,0,0,0,0,0,9,7,5,10,1,11,-3,10,-7,9,-10,5,-11,2,-11,-2,-10,-5,-7,-9,-2,-11,1,-11,4,-10,8,-8,11,-5,11,-1,11,2,9,7,7,9,3,11,-1,13,-4,11,-8,9,-10,5,-11,1,-11,-3,-9,-7,-5,-10,0,0,2,-10,4,-9,7,-5,8,-3,8,0,7,2,5,3,3,4,2,5,0,5,-1,4,-2,4,-3,3,-4,1,-3,0,-3,-1,-3,-1,-2,-2,-1,-2,-1,-3,0,-2,1,-2,2,-2,2,-2,3,-1,3,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,15,3,16,-1,15,-9,11,-15,4,-20,-3,-21,-11,-19,-19,-13,-23,-4,-24,4,-21,15,-14,23,-3,27,9,27,20,22,27,11,32,-1,29,-14,21,-26,9,-33,-4,-34,-20,-29,-32,-19,-38,-5,-38,9,-30,24,-19,36,0,0,13,39,27,28,35,14,36,-1,30,-15,21,-26,7,-30,-5,-30,-17,-24,-24,-15,-28,-3,-24,9,-17,19,-8,23,2,24,11,21,19,13,21,4,21,-4,16,-11,10,-17,1,-20,-5,-17,-11,-14,-14,-8,-15,-1,-14,5,-10,9,0,0,0,0,0,0]"
CSI_DATA,41947,98:4a:6b:31:4a:10,-58,11,-99,-47,57,11,422627546,83,0,256,0,"[0,0,0,0,0,0,0,0,8,-7,10,-4,11,0,10,3,9,7,5,10,2,11,-2,11,-5,10,-8,8,-11,4,-11,1,-11,-2,-10,-5,-7,-9,-3,-10,0,-11,3,-11,7,-10,10,-7,10,-3,11,0,11,3,9,7,7,10,3,11,-1,13,-4,11,0,0,-9,5,-9,2,-9,-1,-8,-3,-5,-5,-4,-7,-1,-7,0,-5,2,-5,3,-5,4,-3,4,-2,4,0,3,1,4,2,3,2,2,2,1,3,0,3,-1,3,-1,2,-2,2,-3,1,-3,0,-3,0,-3,-1,-2,-2,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-9,7,-14,0,-16,-7,-15,-14,-13,-19,-5,-21,3,-19,11,-13,20,-3,23,7,23,16,19,24,9,27,-2,24,-14,17,-23,4,-29,-9,-30,-22,-23,-32,-10,-33,2,-29,17,-19,30,-5,38,13,38,27,28,38,15,40,-4,0,0,22,-34,7,-39,-10,-36,-26,-27,-32,-14,-34,2,-27,16,-17,26,-2,30,10,28,21,19,26,8,26,-4,20,-15,11,-22,0,-23,-10,-21,-17,-14,-21,-3,-21,4,-16,13,-8,17,-1,19,5,16,11,11,15,4,15,-1,11,-5,0,0,0,0,0,0]"
CSI_DATA,41948,98:4a:6b:31:4a:10,-58,11,-99,-45,57,11,422640180,83,0,256,0,"[0,0,0,0,0,0,0,0,5,10,2,11,-4,8,-8,8,-11,5,-10,0,-8,-4,-10,-7,-6,-10,-2,-10,2,-8,5,-6,10,-6,11,-1,13,1,11,3,6,6,4,10,2,11,-1,12,-8,10,-11,7,-12,4,-13,1,-12,-4,-7,-8,-4,-7,2,-10,0,0,6,-8,8,-5,7,-1,7,1,5,3,3,5,-1,4,-1,4,-3,5,-4,3,-4,2,-4,3,-3,0,-2,-1,-2,-2,-3,-2,-2,-2,-1,-4,0,-4,0,-4,1,-4,1,-3,1,-2,3,1,2,1,3,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,12,11,14,5,17,0,16,-6,14,-15,7,-20,-3,-21,-11,-21,-19,-14,-24,-5,-26,4,-23,12,-16,24,-3,26,5,28,16,24,28,15,34,2,33,-10,24,-23,12,-32,-2,-34,-17,-31,-31,-24,-38,-13,-40,5,-34,22,0,0,-10,41,7,37,22,32,31,19,34,3,31,-11,22,-22,10,-29,-3,-30,-14,-26,-22,-19,-25,-5,-24,4,-20,14,-11,21,-2,25,6,22,15,15,20,7,20,-2,17,-10,12,-15,4,-19,0,-16,-7,-14,-12,-10,-14,-3,-14,1,0,0,0,0,0,0]"
CSI_DATA,41949,98:4a:6b:31:4a:10,-52,11,-99,11,37,11,422649251,83,0,256,0,"[0,0,0,0,0,0,0,0,17,4,17,13,13,15,2,24,-4,22,-11,17,-17,13,-24,8,-22,2,-20,-6,-17,-11,-11,-17,-4,-24,2,-24,8,-17,15,-17,20,-8,24,-2,22,4,22,8,17,17,6,22,4,24,-6,26,-15,17,-20,15,-26,6,-20,-2,0,0,-22,-11,-8,-17,-2,-20,2,-17,6,-15,13,-13,13,-6,11,-2,13,2,11,2,8,4,6,6,4,13,0,8,0,8,-4,6,-6,8,-6,4,-4,2,-8,2,-8,-4,-4,-4,-2,-6,-2,-6,-2,-6,0,-6,4,-4,6,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,31,-2,29,-15,20,-22,11,-35,-8,-38,-22,-31,-35,-20,-47,-6,-44,13,-33,29,-17,47,4,51,26,44,44,29,55,8,55,-15,42,-40,20,-58,-2,-62,-33,-55,-53,-38,-67,-13,-69,17,-51,44,-29,67,2,73,33,67,0,0,76,22,73,-20,55,-47,29,-62,4,-64,-24,-58,-49,-35,-58,-15,-53,13,-42,35,-20,49,2,49,24,44,40,29,47,6,42,-15,31,-31,11,-40,-4,-38,-20,-31,-31,-22,-33,-6,-33,8,-26,22,-11,29,0,26,11,26,22,20,0,0,0,0,0,0]"
CSI_DATA,41950,98:4a:6b:31:4a:10,-58,11,-99,-46,57,11,422659109,83,0,256,0,"[0,0,0,0,0,0,0,0,4,10,-1,11,-4,10,-8,8,-10,4,-12,0,-11,-4,-9,-8,-4,-10,-1,-11,3,-11,6,-9,9,-5,11,-2,11,1,10,5,8,8,4,10,1,11,-3,11,-6,9,-10,6,-12,3,-12,-1,-11,-4,-8,-8,-4,-10,0,-11,0,0,6,-8,9,-4,9,-1,8,2,6,3,4,4,2,5,0,5,-1,4,-3,3,-3,3,-3,2,-3,1,-3,0,-2,-1,-2,-2,-1,-2,-1,-3,0,-3,1,-3,1,-2,2,-2,2,-1,2,0,2,0,2,2,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,10,11,16,6,17,0,17,-6,13,-15,8,-19,0,-23,-10,-20,-18,-16,-24,-8,-25,2,-23,13,-16,23,-5,27,6,28,18,23,27,15,32,2,31,-11,24,-24,11,-32,-2,-34,-17,-32,-30,-24,-36,-9,-39,6,-33,21,0,0,-6,40,9,36,23,30,32,17,34,1,31,-12,21,-23,9,-28,-3,-30,-15,-25,-24,-15,-26,-3,-24,8,-18,17,-9,23,1,24,10,20,17,13,20,5,20,-3,17,-10,10,-16,3,-17,-4,-17,-10,-13,-13,-8,-15,-1,-13,3,0,0,0,0,0,0]"
