type,id,mac,rssi,rate,noise_floor,fft_gain,agc_gain,channel,local_timestamp,sig_len,rx_state,len,first_word,data
CSI_DATA,81355,98:4a:6b:31:4a:10,-61,11,-99,-37,56,11,825299788,83,0,256,0,"[0,0,0,0,0,0,0,0,14,33,8,33,7,37,3,37,0,39,-5,40,-8,39,-12,40,-14,37,-19,37,-21,35,-24,35,-26,33,-28,32,-30,30,-32,28,-33,26,-35,24,-37,24,-39,21,-40,19,-42,17,-42,14,-46,12,-44,10,-48,7,-46,3,-48,1,0,0,-44,-3,-42,-7,-40,-8,-39,-8,-37,-10,-33,-10,-30,-14,-30,-14,-28,-14,-26,-14,-26,-14,-23,-16,-23,-16,-23,-16,-21,-16,-21,-16,-19,-17,-17,-16,-17,-17,-16,-19,-14,-19,-12,-21,-12,-21,-8,-21,-8,-21,-7,-21,-3,-21,-1,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,21,-7,14,-17,-1,-23,-16,-17,-24,-3,-21,12,-8,24,7,24,21,14,23,-3,17,-17,1,-24,-14,-19,-23,-5,-21,10,-8,21,8,23,21,10,23,-3,14,-17,-1,-23,-16,-17,-23,-1,-17,14,-3,23,10,19,21,8,0,0,10,-19,-5,-21,-16,-12,-17,3,-12,14,0,16,10,12,16,3,10,-8,3,-12,-5,-10,-10,-3,-10,3,-3,10,1,8,8,5,10,-1,3,-7,-1,-7,-7,-5,-7,0,-5,5,0,7,5,5,5,0,3,-5,0,-5,-1,-3,0,0,0,0,0,0]"
CSI_DATA,81356,98:4a:6b:31:4a:10,-54,11,-99,16,37,11,825309646,83,0,256,0,"[0,0,0,0,0,0,0,0,68,31,68,37,58,48,62,62,48,62,44,68,31,75,27,79,17,86,10,89,3,89,-13,89,-13,89,-17,93,-31,86,-37,86,-41,79,-51,75,-62,75,-58,68,-62,65,-75,62,-75,55,-86,48,-89,44,-96,34,-93,27,-93,27,0,0,-93,10,-99,-6,-89,-10,-75,-13,-75,-24,-68,-20,-65,-27,-65,-27,-62,-31,-58,-34,-55,-34,-48,-31,-44,-41,-44,-37,-44,-41,-41,-44,-37,-41,-34,-44,-31,-51,-31,-48,-17,-51,-13,-51,-10,-51,-3,-55,0,-51,6,-48,10,-48,20,-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,-13,13,-41,-10,-41,-31,-27,-41,0,-41,24,-20,37,10,41,37,24,44,-3,37,-34,10,-44,-24,-34,-41,-17,-44,10,-24,37,6,44,31,27,41,3,31,-27,10,-41,-17,-34,-37,-13,-37,6,-24,34,6,37,31,27,37,0,0,0,10,-34,-17,-37,-34,-17,-37,10,-17,31,0,31,20,20,27,3,20,-17,3,-27,-10,-20,-24,-10,-20,13,-10,13,6,20,17,6,17,3,13,-17,0,-13,-6,-13,-17,-6,-13,6,-3,13,6,13,13,10,13,-3,6,-6,0,-13,0,0,0,0,0,0]"
CSI_DATA,81357,98:4a:6b:31:4a:10,-61,11,-99,-38,56,11,825319793,83,0,256,0,"[0,0,0,0,0,0,0,0,-34,3,-34,-1,-34,-7,-36,-12,-32,-18,-31,-23,-27,-25,-23,-31,-21,-32,-16,-36,-10,-38,-7,-40,-1,-42,0,-40,5,-42,9,-40,14,-38,18,-38,23,-36,25,-34,29,-32,32,-29,36,-25,38,-21,42,-20,43,-14,43,-10,45,-5,0,0,43,1,42,9,38,10,34,12,32,16,29,18,25,20,25,20,23,23,20,23,18,23,14,21,12,23,10,23,9,25,7,25,5,25,3,25,0,25,-3,23,-5,23,-9,21,-9,20,-12,18,-12,18,-16,14,-16,10,-18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,18,0,23,12,18,21,9,21,-5,14,-18,1,-25,-12,-21,-25,-5,-25,7,-16,20,-1,23,14,18,23,5,23,-9,12,-21,-5,-23,-18,-16,-25,0,-20,12,-7,23,9,21,20,10,21,-5,16,-18,0,-23,-14,-16,-23,-5,0,0,-10,20,5,20,14,10,20,0,14,-10,3,-18,-7,-16,-12,-7,-12,3,-7,10,1,12,7,9,10,0,9,-5,1,-9,-3,-9,-7,-5,-9,1,-5,7,1,7,5,5,7,1,5,-3,1,-7,-1,-5,-5,-1,-3,1,-3,5,0,0,0,0,0,0]"
CSI_DATA,81358,98:4a:6b:31:4a:10,-61,11,-99,-37,56,11,825328815,83,0,256,0,"[0,0,0,0,0,0,0,0,33,7,33,10,32,16,32,21,30,23,28,28,24,32,21,35,17,37,14,37,8,40,7,39,5,40,1,42,0,40,-3,40,-7,40,-10,40,-14,40,-16,39,-19,39,-21,37,-24,37,-28,35,-30,35,-33,32,-35,28,-39,26,0,0,-40,19,-39,16,-39,12,-37,8,-37,7,-33,3,-32,1,-32,0,-30,-1,-30,-1,-30,-1,-26,-3,-26,-3,-24,-5,-24,-7,-24,-8,-23,-8,-23,-10,-21,-12,-21,-14,-19,-14,-17,-16,-14,-16,-14,-17,-12,-17,-8,-19,-8,-19,-7,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,-14,7,-21,-7,-21,-19,-12,-23,3,-19,16,-3,24,12,21,23,10,24,-5,16,-19,-3,-23,-16,-19,-26,-5,-21,12,-7,23,8,21,21,14,24,-3,16,-17,-1,-23,-16,-16,-23,-1,-19,12,-7,23,8,23,21,10,21,-5,0,0,-1,-23,-14,-14,-19,-3,-16,10,-3,17,7,16,14,7,14,-3,7,-12,-3,-12,-8,-7,-12,1,-7,8,1,10,7,7,10,1,7,-3,1,-7,-3,-8,-7,-3,-7,3,-3,5,1,7,5,3,5,0,3,-3,0,-7,-5,-3,0,0,0,0,0,0]"
CSI_DATA,81359,98:4a:6b:31:4a:10,-54,11,-99,17,37,11,825337876,83,0,256,0,"[0,0,0,0,0,0,0,0,-43,-63,-40,-60,-30,-66,-33,-73,-23,-70,-16,-83,-13,-77,-3,-90,6,-83,13,-83,20,-87,16,-83,20,-80,26,-83,33,-77,26,-77,36,-77,40,-83,43,-80,46,-77,50,-77,53,-66,63,-66,70,-63,77,-66,70,-70,77,-70,73,-60,0,0,87,-56,70,-40,73,-43,70,-46,70,-33,66,-26,66,-23,63,-13,63,-26,66,-16,60,-20,53,-13,53,-16,56,-20,60,-13,56,-13,53,-16,56,-10,53,-3,53,3,60,0,53,3,53,10,46,6,50,13,50,13,43,13,46,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40,3,-33,26,-13,40,10,36,33,30,36,-10,23,-33,-3,-46,-23,-33,-36,-13,-33,20,-20,40,10,43,40,16,40,-10,16,-36,-6,-43,-33,-26,-40,-3,-33,26,0,43,33,33,43,10,33,-26,10,-30,-26,-36,-33,-13,-40,20,0,0,13,36,33,20,36,-10,23,-30,-3,-36,-26,-23,-26,0,-20,23,6,30,20,16,20,-3,20,-13,0,-26,-16,-23,-23,-3,-16,13,-6,13,6,13,20,6,16,-3,10,-13,-6,-10,-16,-10,-10,6,-6,10,6,13,13,6,16,-6,0,0,0,0,0,0]"
CSI_DATA,81360,98:4a:6b:31:4a:10,-54,11,-99,15,37,11,825347914,83,0,256,0,"[0,0,0,0,0,0,0,0,31,-67,35,-60,42,-56,49,-56,56,-49,67,-49,70,-39,81,-28,85,-24,81,-17,85,-14,85,-7,85,-7,88,7,88,14,85,21,85,21,81,28,85,35,78,39,74,42,78,53,74,60,70,63,70,67,60,74,60,78,46,78,0,0,46,85,35,81,28,81,21,78,21,74,17,70,7,67,3,67,3,67,0,60,0,63,0,63,-7,53,-7,53,-7,53,-7,49,-7,56,-21,56,-21,46,-21,46,-21,42,-28,46,-35,42,-35,35,-35,35,-35,28,-42,24,-42,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-35,-35,-17,-42,10,-24,35,0,39,28,35,42,17,39,-17,24,-42,-3,-46,-31,-31,-46,0,-39,28,-10,46,14,46,42,14,39,-14,21,-35,-7,-39,-39,-28,-42,3,-28,28,-3,46,24,31,39,10,42,-14,10,-42,-10,-35,0,0,-46,10,-31,28,7,35,24,24,35,3,28,-21,10,-31,-10,-24,-24,-7,-24,10,-7,24,3,28,17,14,24,-10,14,-21,0,-24,-14,-17,-17,-3,-14,14,0,14,14,14,17,7,14,-10,7,-17,-7,-14,-14,-7,-14,0,-7,10,0,0,0,0,0,0]"
CSI_DATA,81361,98:4a:6b:31:4a:10,-54,11,-99,15,37,11,825357199,83,0,256,0,"[0,0,0,0,0,0,0,0,39,-67,46,-63,56,-56,63,-46,74,-46,78,-31,81,-24,85,-17,81,-7,85,0,88,10,88,21,81,28,81,39,78,42,81,49,70,56,63,67,60,74,56,70,53,74,42,85,42,88,31,95,24,95,14,95,7,106,-7,95,0,0,-17,92,-28,88,-31,85,-35,74,-35,70,-39,63,-42,56,-39,53,-46,42,-49,42,-49,42,-49,39,-49,31,-49,31,-53,24,-53,21,-53,14,-56,14,-53,10,-53,7,-53,-3,-56,-7,-53,-10,-46,-14,-46,-17,-39,-24,-42,-28,-42,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-35,-35,-21,-42,3,-28,24,-7,42,21,39,35,21,42,-7,24,-31,3,-49,-17,-39,-39,-14,-42,17,-21,35,10,39,35,24,46,0,31,-21,10,-42,-24,-35,-42,-14,-39,14,-28,42,3,42,28,35,42,0,35,-24,10,-39,0,0,-31,-10,-42,7,-17,28,7,39,28,28,28,0,31,-17,10,-28,-14,-28,-21,-10,-24,7,-10,21,0,24,17,10,24,3,21,-14,3,-17,-10,-17,-14,-3,-17,10,-10,14,3,17,10,10,17,0,10,-3,3,-7,-10,-7,-10,-3,0,0,0,0,0,0]"
CSI_DATA,81362,98:4a:6b:31:4a:10,-60,11,-99,-38,57,11,825367246,83,0,256,0,"[0,0,0,0,0,0,0,0,-37,1,-37,-3,-37,-8,-37,-11,-35,-14,-37,-17,-34,-21,-32,-26,-30,-27,-27,-29,-26,-34,-24,-35,-21,-37,-19,-39,-17,-39,-14,-40,-13,-40,-11,-42,-8,-44,-4,-45,-3,-45,-1,-45,1,-47,4,-47,6,-47,9,-45,13,-45,16,-45,0,0,21,-42,21,-39,24,-35,22,-32,22,-29,22,-27,22,-26,22,-24,24,-22,24,-21,22,-19,21,-17,21,-16,21,-16,22,-14,22,-14,22,-11,22,-11,22,-9,24,-8,24,-6,24,-4,22,-4,22,-1,22,0,21,1,22,3,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,17,0,22,14,19,22,6,22,-8,11,-21,-4,-24,-17,-16,-26,0,-19,16,-6,24,9,22,21,11,22,-6,13,-19,-3,-24,-17,-14,-24,-1,-17,14,-3,22,11,19,21,8,21,-9,9,-21,-6,-21,-19,-13,-22,4,-14,16,0,0,14,16,19,1,16,-11,4,-17,-8,-14,-14,-6,-14,4,-6,11,3,13,11,6,11,-3,6,-9,-1,-9,-8,-6,-9,0,-6,6,0,9,4,6,8,1,6,-4,1,-8,-4,-4,-6,-1,-4,3,-1,4,1,6,4,3,6,-1,0,0,0,0,0,0]"
CSI_DATA,81363,98:4a:6b:31:4a:10,-61,11,-99,-41,57,11,825376498,83,0,256,0,"[0,0,0,0,0,0,0,0,-14,-32,-8,-33,-5,-35,-1,-37,7,-37,12,-37,12,-39,16,-37,21,-35,19,-33,30,-30,30,-28,33,-24,33,-23,35,-19,37,-17,39,-16,40,-7,40,-5,42,-3,42,0,46,1,44,1,44,10,44,10,44,16,42,19,39,23,0,0,35,26,30,32,26,32,24,30,19,30,17,30,16,30,14,28,10,30,10,28,8,28,5,26,3,26,3,26,0,26,-1,26,-1,26,-3,24,-3,24,-5,24,-7,23,-10,21,-10,21,-14,17,-14,17,-16,16,-17,12,-17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,-5,-23,7,-14,19,0,23,12,17,21,3,21,-8,10,-21,-5,-23,-16,-16,-26,-1,-19,12,-7,21,8,21,21,10,24,-5,16,-17,0,-24,-14,-19,-23,-5,-19,8,-8,19,8,23,21,8,23,-3,14,-17,1,-23,-14,-17,0,0,-17,10,-5,17,8,16,16,8,16,-3,10,-12,0,-16,-8,-10,-12,-1,-10,7,-1,10,5,10,10,5,8,-1,7,-8,0,-8,-5,-7,-7,1,-5,5,0,7,5,5,7,0,5,-3,1,-5,-3,-5,-5,-1,-3,3,-1,7,0,0,0,0,0,0]"
CSI_DATA,81364,98:4a:6b:31:4a:10,-61,11,-99,-38,56,11,825385527,83,0,256,0,"[0,0,0,0,0,0,0,0,20,29,16,31,12,36,7,38,3,38,-1,40,-9,38,-12,36,-18,34,-23,32,-27,34,-31,29,-34,23,-34,18,-34,16,-38,14,-38,9,-43,7,-43,1,-42,-3,-42,-3,-42,-9,-43,-16,-42,-18,-40,-25,-36,-27,-34,-32,-29,-32,0,0,-23,-40,-20,-38,-14,-38,-10,-38,-5,-34,-1,-32,0,-32,1,-32,3,-31,9,-27,9,-25,10,-25,10,-23,12,-21,12,-23,14,-20,18,-18,16,-14,18,-14,20,-12,21,-10,21,-10,21,-5,20,-1,21,-1,21,1,20,3,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,18,-10,9,-18,-5,-20,-14,-14,-21,-1,-21,12,-7,20,5,21,16,14,23,3,18,-12,5,-25,-9,-25,-18,-16,-21,1,-14,14,-5,23,12,20,23,7,23,-5,14,-18,-3,-25,-16,-14,-21,-5,-16,10,-3,20,10,20,0,0,20,-5,10,-12,0,-18,-9,-14,-16,-3,-14,7,-7,12,3,14,7,7,14,0,9,-5,3,-9,-5,-7,-9,0,-9,1,-3,7,3,9,5,5,7,0,3,-5,1,-5,-3,-7,-5,0,-7,3,-1,5,1,3,5,1,5,-1,0,0,0,0,0,0]"
