timestamp,type,id,mac,rssi,rate,noise_floor,fft_gain,agc_gain,channel,local_timestamp,sig_len,rx_state,len,first_word,data
1775617703.2047644,CSI_DATA,241327,08:40:f3:fd:1c:c1,-51,11,-99,6,42,1,511888972,83,0,512,0,"[0,0,0,0,0,0,0,0,0,0,7,-52,7,-52,5,-50,5,-47,7,-45,10,-42,12,-40,12,-35,15,-30,15,-25,17,-20,17,-12,20,-10,20,-7,22,-5,25,0,25,5,27,10,30,12,32,15,32,20,35,22,35,22,35,25,32,27,30,30,32,27,35,27,35,30,37,32,32,30,27,30,25,27,25,27,22,27,20,27,17,25,15,22,12,22,7,20,2,20,0,20,-5,20,-7,20,-12,17,-17,17,-20,17,-25,17,-27,17,-30,17,-32,17,-32,17,-37,17,-40,20,-40,22,-37,25,-40,25,-40,27,-40,27,-37,25,-35,25,-32,22,-32,22,-30,22,-27,22,-22,22,-20,20,-17,15,-15,12,-10,10,-7,5,-7,2,-7,-5,-2,-7,0,-12,2,-17,2,-25,2,-27,5,-35,2,-40,2,-45,0,-50,-2,-52,-2,-55,-5,-55,-7,-52,-10,-57,-12,-57,-17,-60,-20,-60,-25,-60,-27,-57,-27,-55,-30,-50,-32,-47,-35,-42,-35,-40,-35,-35,-35,-27,-32,-20,-30,-15,-25,-7,-25,0,-20,7,-15,12,-7,15,0,22,7,27,15,30,20,35,27,37,37,40,45,40,55,42,60,40,65,35,72,35,80,32,85,27,92,22,97,17,100,10,95,-32,0,0,97,-12,97,-12,90,-17,80,-22,77,-25,75,-30,67,-32,57,-37,47,-40,35,-40,27,-42,20,-42,10,-42,-2,-37,-12,-35,-20,-27,-32,-25,-40,-20,-47,-12,-55,-5,-62,5,-62,12,-75,22,-77,32,-77,37,-75,42,-75,52,-72,62,-70,67,-67,75,-62,82,-57,87,-52,92,-47,97,-40,97,-30,95,-20,92,-12,90,-5,85,2,82,7,75,15,70,22,62,27,55,32,42,35,32,37,22,42,12,40,0,37,-10,35,-22,32,-32,30,-42,25,-50,20,-60,15,-67,10,-77,2,-85,-5,-90,-15,-92,-22,-95,-30,-95,-37,-95,-42,-92,-50,-92,-60,-92,-67,-90,-72,-85,-72,-75,-72,-65,-75,-60,-77,-52,-75,-45,-75,-35,-72,-27,-70,-20,-62,-10,-52,0,-47,7,-37,15,-32,22,-22,30,-12,37,0,42,12,45,22,47,32,50,42,55,52,55,65,55,72,52,82,50,87,45,92,40,97,35,105,30,105,27,108,25,110,17,110,10,108,5,105,0,105,-7,105,-12,95,-15,82,-17,75,-22,67,-25,60,-30,50,-32,37,-32,25,-32,15,-32,2,-30,-10,-32,-20,-27,-32,-27,-40,-22,-50,-17,-60,-10,-65,-7,-67,-2,-67,-2,0,0,0,0,0,0,0,0]"
1775617703.220899,CSI_DATA,241328,08:40:f3:fd:1c:c1,-52,11,-99,1,44,1,511930064,83,0,512,0,"[0,0,0,0,0,0,0,0,0,0,-43,-46,-43,-46,-52,-39,-59,-32,-48,-27,-39,-23,-34,-25,-16,-25,-20,-27,-13,-27,-11,-23,-9,-18,-2,-23,2,-25,6,-23,11,-18,13,-20,16,-23,20,-18,25,-13,32,-16,39,-18,36,-18,34,-18,36,-18,36,-20,36,-20,39,-20,41,-18,41,-18,41,-18,39,-16,36,-13,29,-11,34,-9,29,-6,27,-6,25,-6,23,-2,20,2,20,4,18,9,16,11,13,13,13,18,11,23,11,25,11,27,9,32,6,34,6,36,6,36,6,41,6,43,6,41,6,41,9,41,11,41,9,43,9,43,11,39,11,34,11,34,13,34,11,32,11,29,9,25,6,20,4,16,2,11,0,11,-2,9,-4,6,-4,2,-9,-2,-13,-6,-20,-6,-25,-6,-29,-9,-34,-11,-41,-11,-46,-9,-48,-9,-48,-9,-52,-6,-55,-4,-57,-4,-57,-2,-62,0,-64,4,-62,4,-59,6,-57,11,-52,16,-50,18,-48,23,-41,25,-34,27,-29,23,-27,18,-23,18,-16,20,-9,18,-2,16,6,16,13,9,20,4,27,2,32,-6,36,-16,39,-20,41,-25,43,-34,46,-41,48,-48,48,-52,46,-62,46,-69,43,-73,43,-78,39,-82,32,-87,-4,-92,0,0,11,-92,11,-92,6,-87,2,-80,-9,-78,-18,-73,-23,-66,-27,-57,-29,-52,-32,-46,-29,-36,-29,-25,-34,-16,-36,-6,-34,2,-29,11,-25,23,-16,29,-16,39,-16,48,-9,57,0,57,6,71,13,78,25,78,34,78,39,78,41,78,52,73,62,69,66,69,71,69,78,62,85,57,85,46,85,34,85,29,85,25,80,16,76,9,71,2,66,-2,59,-9,50,-16,43,-18,36,-20,27,-29,13,-34,4,-41,-6,-39,-13,-39,-20,-34,-34,-32,-46,-27,-57,-25,-69,-20,-76,-11,-80,0,-80,2,-80,4,-92,11,-101,18,-96,25,-94,29,-89,36,-85,43,-82,52,-80,59,-78,62,-73,64,-64,62,-55,62,-52,66,-48,73,-36,66,-25,59,-16,57,-4,55,4,48,11,39,18,32,23,20,34,9,39,-6,41,-13,41,-20,46,-27,50,-34,50,-46,52,-57,50,-64,48,-73,46,-80,41,-87,36,-94,32,-99,29,-101,25,-101,20,-103,16,-105,11,-103,6,-101,0,-103,-6,-101,-11,-92,-16,-80,-20,-73,-25,-64,-27,-57,-29,-46,-29,-32,-27,-18,-25,-11,-23,-4,-25,9,-27,16,-20,27,-16,36,-11,48,-9,59,-4,62,-2,64,-2,64,0,0,0,0,0,0,0,0]"
1775617703.2453525,CSI_DATA,241329,08:40:f3:fd:1c:c1,-51,11,-99,10,42,1,511930494,83,0,512,0,"[0,0,0,0,0,0,0,0,0,0,-53,-15,-53,-13,-51,-17,-49,-17,-44,-17,-42,-17,-38,-20,-31,-20,-26,-22,-20,-22,-17,-22,-15,-22,-8,-22,-2,-22,0,-22,4,-22,8,-26,13,-29,17,-29,20,-26,24,-26,29,-29,31,-29,35,-26,33,-31,33,-33,35,-31,38,-26,38,-26,40,-26,35,-26,33,-26,31,-24,31,-22,31,-22,31,-20,31,-15,29,-8,26,-6,22,-4,22,-2,22,2,22,6,20,11,17,15,17,17,15,22,15,26,13,29,13,31,15,33,17,35,17,40,20,42,17,42,17,40,20,42,20,47,22,42,22,40,22,38,22,35,22,33,22,31,20,29,20,29,17,22,15,17,11,15,8,13,4,11,0,6,-6,6,-8,2,-13,2,-17,0,-24,0,-29,-2,-35,-2,-42,-4,-47,-4,-53,-2,-53,-2,-53,-2,-55,2,-58,4,-60,8,-62,13,-62,15,-62,20,-62,20,-62,22,-58,26,-53,31,-49,31,-44,29,-42,33,-35,35,-31,33,-22,31,-17,29,-11,24,-6,20,0,15,11,13,17,6,24,0,26,-6,31,-15,35,-22,38,-31,38,-38,38,-49,40,-58,38,-60,38,-64,35,-76,33,-87,31,-91,29,-96,22,-98,15,-100,-40,-89,0,0,-11,-94,-11,-94,-13,-89,-15,-82,-24,-80,-31,-76,-33,-64,-35,-55,-38,-47,-40,-38,-40,-29,-40,-17,-40,-6,-38,4,-33,15,-26,22,-22,33,-15,42,-8,49,-2,53,8,62,13,62,26,71,35,76,44,76,51,73,60,73,67,73,76,67,82,60,87,58,91,53,98,47,105,40,102,31,100,22,96,15,91,8,89,0,85,-8,76,-13,64,-17,60,-26,55,-33,44,-35,31,-38,22,-40,8,-38,0,-40,-11,-35,-24,-35,-35,-33,-44,-26,-53,-17,-62,-11,-69,-2,-78,4,-89,11,-91,20,-94,26,-94,35,-94,44,-91,51,-89,55,-87,64,-85,71,-82,78,-78,82,-69,82,-58,80,-51,85,-44,87,-35,82,-26,78,-20,76,-11,73,-2,62,6,51,13,44,17,35,26,26,33,17,40,4,40,-8,42,-20,42,-31,44,-42,44,-53,42,-64,42,-78,35,-82,33,-91,31,-96,26,-100,22,-105,15,-109,8,-111,2,-116,-2,-114,-6,-111,-11,-107,-15,-102,-22,-100,-26,-98,-31,-91,-33,-82,-35,-73,-38,-62,-40,-53,-40,-42,-38,-31,-35,-15,-33,-6,-29,2,-29,15,-20,24,-15,35,-6,42,-2,53,2,62,8,64,13,64,13,64,0,0,0,0,0,0,0,0]"
1775617703.260284,CSI_DATA,241330,08:40:f3:fd:1c:c1,-52,11,-99,8,43,1,511969064,83,0,512,0,"[0,0,0,0,0,0,0,0,0,0,40,-25,40,-25,40,-25,40,-23,40,-19,38,-14,35,-10,31,-8,31,-4,29,-2,25,2,23,4,21,8,16,12,14,14,10,19,8,21,8,25,2,29,-2,31,-4,33,-6,38,-8,40,-10,40,-10,40,-8,40,-12,42,-14,42,-14,44,-16,44,-16,40,-14,38,-14,33,-14,29,-16,27,-16,25,-19,23,-19,23,-19,16,-16,12,-16,8,-16,4,-19,0,-21,-4,-19,-8,-19,-10,-21,-14,-21,-19,-21,-21,-21,-23,-23,-25,-27,-27,-27,-29,-27,-31,-27,-33,-27,-35,-29,-35,-27,-35,-29,-33,-27,-31,-27,-29,-25,-27,-25,-25,-23,-23,-23,-23,-21,-23,-16,-19,-14,-14,-10,-12,-8,-10,-4,-8,0,-6,4,-6,8,-2,12,0,16,2,21,2,27,4,31,4,38,4,40,2,44,0,48,0,52,2,52,-2,54,-6,54,-6,54,-6,57,-8,57,-10,59,-12,59,-12,54,-16,50,-21,48,-23,46,-23,42,-23,38,-25,33,-25,29,-25,21,-25,14,-21,8,-21,0,-16,-6,-14,-10,-8,-19,-4,-25,-2,-33,4,-38,10,-42,16,-44,21,-48,27,-52,35,-54,42,-57,48,-57,52,-54,59,-57,65,-54,71,-52,71,-48,73,-14,90,0,0,-31,88,-31,88,-25,84,-19,80,-12,78,-4,73,0,69,4,65,10,57,14,48,19,44,23,35,27,27,29,19,33,8,33,-2,35,-12,35,-21,35,-29,35,-38,31,-48,27,-57,23,-67,19,-76,16,-78,14,-80,8,-86,2,-92,-4,-92,-12,-92,-19,-95,-25,-95,-31,-92,-38,-92,-40,-86,-44,-82,-46,-76,-48,-67,-50,-63,-50,-57,-54,-48,-54,-38,-54,-29,-50,-21,-48,-12,-44,-2,-42,6,-35,14,-31,25,-23,31,-14,40,-6,44,2,50,8,54,16,57,25,59,35,63,46,65,52,67,61,65,67,65,73,63,78,59,82,52,88,52,92,52,95,44,97,35,95,31,92,23,88,19,84,12,82,6,78,2,71,-4,63,-10,54,-14,46,-21,38,-25,27,-27,19,-33,8,-35,-2,-38,-12,-35,-25,-35,-35,-31,-46,-33,-54,-35,-63,-31,-76,-27,-78,-25,-84,-23,-92,-19,-101,-16,-103,-10,-103,-2,-103,2,-105,4,-107,8,-107,12,-103,14,-99,16,-95,21,-92,25,-84,27,-76,29,-65,31,-57,33,-50,33,-42,35,-31,33,-19,31,-10,31,0,29,12,29,21,25,31,23,40,16,48,14,57,10,63,6,67,2,67,2,0,0,0,0,0,0,0,0]"
1775617703.2828991,CSI_DATA,241331,08:40:f3:fd:1c:c1,-51,11,-99,8,42,1,511969440,83,0,512,0,"[0,0,0,0,0,0,0,0,0,0,28,-42,28,-42,28,-40,30,-37,30,-33,30,-28,30,-26,30,-23,28,-18,28,-14,26,-7,26,0,21,2,18,7,18,11,18,14,18,18,18,23,16,28,14,30,9,35,7,37,7,42,4,45,7,45,7,45,4,45,2,45,0,47,0,49,0,45,0,40,0,37,-2,35,-2,35,-4,33,-7,30,-7,28,-9,23,-11,18,-14,16,-14,14,-18,9,-21,7,-21,2,-21,-2,-23,-7,-26,-9,-28,-11,-33,-14,-33,-16,-35,-16,-37,-18,-40,-18,-40,-21,-40,-23,-40,-23,-42,-23,-40,-21,-40,-18,-37,-16,-35,-14,-35,-14,-35,-11,-33,-14,-28,-14,-23,-11,-21,-9,-16,-9,-14,-7,-9,-7,-4,-7,0,-7,4,-7,11,-7,14,-2,23,-9,28,-9,33,-9,37,-9,42,-14,47,-18,47,-18,47,-18,47,-21,49,-26,52,-28,56,-33,56,-35,54,-37,54,-35,54,-33,47,-37,42,-45,37,-42,33,-40,28,-40,26,-40,21,-37,14,-33,9,-30,7,-23,0,-26,-4,-21,-11,-14,-16,-4,-21,2,-23,9,-28,16,-33,23,-35,30,-40,37,-42,47,-42,59,-42,64,-37,68,-35,73,-33,80,-30,82,-30,87,-26,94,-21,101,16,97,0,0,2,97,2,97,4,92,7,85,16,80,23,75,26,66,28,59,33,52,35,45,35,35,35,26,37,14,37,4,35,-4,28,-11,30,-26,30,-35,23,-45,18,-52,11,-61,7,-64,0,-73,-4,-80,-14,-85,-26,-87,-28,-90,-30,-90,-42,-90,-52,-87,-56,-85,-61,-80,-68,-80,-75,-78,-75,-68,-73,-59,-78,-56,-80,-56,-73,-45,-68,-30,-71,-23,-71,-16,-64,-11,-56,-4,-49,2,-40,9,-35,21,-30,35,-21,37,-9,42,-2,45,4,45,21,47,35,49,45,47,54,45,64,45,73,47,78,42,82,37,87,33,92,30,99,28,106,26,106,18,106,11,111,7,113,0,106,-7,99,-14,97,-16,92,-21,85,-26,78,-28,71,-33,64,-35,52,-35,40,-35,28,-37,16,-35,7,-40,-2,-40,-16,-35,-28,-28,-37,-26,-47,-21,-56,-16,-66,-11,-75,-4,-85,0,-90,7,-97,14,-99,14,-99,16,-101,26,-104,37,-101,40,-99,45,-97,47,-94,49,-94,54,-94,56,-90,59,-85,64,-73,59,-64,54,-54,56,-45,59,-35,56,-26,52,-14,47,-4,40,4,35,14,28,23,23,30,16,37,11,42,4,54,-4,64,-11,64,-16,64,-21,64,-21,0,0,0,0,0,0,0,0]"
1775617703.3059206,CSI_DATA,241332,08:40:f3:fd:1c:c1,-52,11,-99,7,43,1,512012841,83,0,512,0,"[0,0,0,0,0,0,0,0,0,0,-39,-23,-39,-23,-36,-23,-34,-21,-32,-26,-28,-28,-23,-28,-21,-23,-17,-26,-15,-26,-10,-23,-4,-19,-2,-19,2,-19,8,-19,13,-17,17,-17,19,-17,23,-17,30,-15,32,-15,34,-15,36,-13,39,-13,39,-10,36,-8,39,-8,41,-10,41,-8,41,-8,41,-6,39,-4,36,-2,34,0,34,0,32,2,28,2,26,2,23,4,19,8,17,10,13,10,8,15,6,17,4,19,2,21,0,23,-4,28,-6,30,-6,30,-8,30,-8,32,-10,34,-13,36,-13,39,-10,39,-13,41,-13,43,-13,41,-13,39,-10,36,-10,34,-10,32,-8,32,-6,30,-4,28,-6,23,-6,19,-4,17,-2,13,-4,8,-6,2,-6,-2,-4,-4,-6,-10,-8,-15,-8,-19,-10,-21,-15,-26,-19,-28,-19,-32,-21,-34,-23,-36,-26,-41,-30,-41,-32,-41,-34,-41,-36,-41,-39,-41,-41,-39,-43,-36,-43,-34,-45,-32,-45,-30,-45,-26,-45,-23,-43,-19,-41,-15,-39,-10,-34,-4,-30,-2,-26,4,-19,6,-13,8,-8,13,0,15,6,17,13,19,21,21,28,21,36,21,45,21,50,19,56,17,63,17,69,15,71,13,76,10,82,6,89,2,89,-4,87,-8,58,-67,0,0,84,-28,84,-28,78,-32,71,-34,65,-36,56,-36,52,-39,45,-41,36,-43,28,-41,21,-41,13,-36,2,-34,-8,-30,-15,-28,-23,-23,-30,-17,-36,-10,-43,-4,-50,0,-54,6,-56,15,-63,21,-67,28,-67,39,-65,47,-65,50,-63,54,-63,63,-60,69,-56,73,-54,78,-50,82,-45,84,-36,84,-28,84,-23,80,-17,78,-10,76,-2,73,2,67,6,60,13,56,21,50,23,43,28,32,32,26,30,13,36,4,32,-8,34,-19,34,-28,32,-34,28,-43,26,-52,23,-58,19,-67,15,-73,10,-78,4,-82,0,-84,-6,-89,-13,-91,-19,-95,-26,-93,-32,-93,-36,-91,-39,-91,-43,-84,-45,-80,-47,-71,-50,-63,-52,-58,-54,-52,-54,-45,-52,-36,-50,-28,-47,-19,-43,-8,-36,4,-32,10,-26,15,-21,28,-15,36,-6,43,4,47,8,54,15,60,23,65,32,67,41,71,50,73,56,71,63,69,65,71,69,73,73,69,76,65,80,63,84,60,84,54,84,47,84,43,84,41,80,32,73,23,69,19,63,15,56,8,50,0,41,-6,32,-10,26,-15,15,-19,8,-28,-2,-30,-8,-34,-17,-34,-28,-39,-39,-41,-43,-41,-47,-41,-47,-41,0,0,0,0,0,0,0,0]"
1775617703.3230164,CSI_DATA,241333,08:40:f3:fd:1c:c1,-52,11,-99,9,43,1,512031798,83,0,512,0,"[0,0,0,0,0,0,0,0,0,0,-32,-34,-32,-34,-28,-32,-24,-32,-22,-32,-20,-32,-16,-32,-16,-30,-12,-28,-8,-26,-2,-26,4,-22,6,-18,6,-14,12,-16,16,-18,20,-14,22,-8,26,-8,28,-6,30,-6,34,-4,36,-2,39,-2,39,2,41,4,41,4,41,2,41,2,41,4,39,6,36,8,34,10,34,8,32,10,30,10,26,10,22,10,20,10,18,12,12,14,8,16,6,16,2,16,0,18,-4,20,-6,22,-10,24,-12,26,-14,26,-16,26,-18,26,-18,30,-20,32,-22,32,-22,32,-22,34,-22,36,-20,34,-20,32,-20,32,-18,32,-16,30,-16,30,-14,26,-12,24,-10,20,-8,18,-8,14,-6,12,-8,8,-8,4,-8,0,-4,-4,-4,-10,-2,-14,-6,-22,-8,-26,-6,-30,-6,-32,-8,-36,-12,-39,-16,-43,-18,-43,-18,-43,-20,-43,-22,-47,-26,-51,-28,-49,-32,-49,-32,-47,-32,-45,-34,-41,-39,-36,-39,-32,-39,-28,-36,-24,-34,-20,-32,-14,-28,-10,-26,-6,-20,-2,-22,4,-18,8,-12,12,-4,12,2,18,10,20,16,22,20,26,28,30,36,32,43,32,49,32,55,30,61,28,67,26,71,24,78,20,84,16,88,14,92,10,84,-28,0,0,88,-14,88,-14,82,-16,75,-18,69,-22,63,-28,57,-30,49,-34,45,-34,39,-34,28,-36,16,-36,8,-32,0,-28,-10,-30,-20,-28,-26,-26,-32,-20,-41,-16,-47,-10,-55,-4,-59,6,-65,12,-69,18,-71,26,-75,32,-73,36,-71,43,-71,51,-71,59,-67,65,-63,69,-59,71,-53,73,-47,75,-41,78,-39,78,-34,78,-24,73,-12,67,-8,67,-2,67,2,59,6,49,12,43,16,34,24,28,34,20,36,10,36,0,36,-6,34,-12,36,-28,34,-43,32,-49,28,-55,26,-63,24,-71,18,-75,14,-80,10,-84,6,-86,2,-94,-4,-100,-10,-96,-16,-94,-22,-96,-30,-96,-32,-90,-34,-82,-36,-80,-39,-75,-43,-69,-45,-61,-45,-51,-45,-41,-41,-32,-39,-24,-39,-12,-36,-2,-34,4,-30,10,-24,24,-14,32,-8,39,-2,45,4,53,10,61,18,65,22,67,32,75,41,82,43,80,45,78,55,78,65,75,65,75,67,73,69,69,71,63,75,63,80,61,80,55,80,49,71,45,65,36,65,28,63,18,55,10,47,4,41,-2,32,-8,24,-14,16,-18,10,-26,2,-28,-6,-36,-12,-41,-22,-43,-30,-43,-39,-47,-45,-49,-45,-49,0,0,0,0,0,0,0,0]"
1775617703.3458235,CSI_DATA,241334,08:40:f3:fd:1c:c1,-52,11,-99,4,44,1,512051690,83,0,512,0,"[0,0,0,0,0,0,0,0,0,0,14,-44,14,-44,16,-42,16,-40,19,-38,19,-35,19,-31,16,-27,19,-23,19,-16,19,-12,19,-10,19,-4,19,0,19,4,19,8,19,12,19,16,19,19,19,21,19,23,19,25,16,29,14,31,16,35,16,40,16,38,16,35,14,38,12,38,14,35,14,35,12,33,8,33,10,31,8,29,4,27,2,25,0,23,0,21,-4,19,-8,14,-10,12,-14,10,-16,10,-19,8,-21,6,-23,4,-25,2,-27,0,-31,-2,-35,-4,-38,-4,-40,-4,-40,-2,-40,-2,-40,-2,-40,0,-42,0,-42,0,-40,0,-35,0,-35,2,-35,2,-29,2,-25,0,-23,0,-23,0,-16,0,-12,-2,-8,0,-6,0,-4,-6,0,-8,4,-12,10,-14,12,-14,16,-16,21,-19,25,-23,27,-27,29,-29,27,-33,25,-38,27,-40,29,-44,29,-46,27,-48,27,-50,25,-50,23,-52,19,-52,16,-52,12,-52,8,-48,4,-44,4,-44,2,-44,-2,-38,-6,-31,-10,-27,-10,-25,-16,-14,-16,-8,-14,-2,-10,4,-12,14,-14,23,-14,29,-14,33,-10,42,-6,46,-2,54,2,61,8,65,12,69,14,71,19,73,25,73,33,73,33,73,33,73,71,48,0,0,59,67,59,67,59,59,57,52,59,46,61,40,59,31,57,23,52,14,48,6,44,2,38,-4,33,-14,29,-21,21,-29,10,-33,2,-35,-6,-33,-14,-40,-25,-46,-33,-46,-35,-42,-48,-46,-54,-44,-59,-46,-65,-46,-73,-40,-82,-33,-82,-31,-82,-27,-84,-16,-86,-8,-95,-2,-101,2,-97,4,-90,4,-86,10,-80,16,-76,21,-69,27,-61,31,-52,35,-46,35,-38,35,-27,38,-12,38,-4,40,4,33,14,38,21,33,31,27,38,19,44,14,50,10,57,4,63,-4,65,-12,67,-21,71,-33,76,-46,80,-48,84,-50,78,-57,71,-61,71,-65,71,-67,67,-73,61,-78,52,-82,44,-86,38,-80,31,-73,23,-73,14,-73,10,-67,6,-59,0,-52,-4,-46,-12,-42,-19,-33,-25,-25,-29,-12,-33,-6,-35,2,-38,12,-38,23,-40,35,-40,48,-40,54,-40,67,-40,67,-38,73,-38,80,-35,86,-31,90,-27,92,-19,97,-8,101,-8,103,-6,107,-2,101,2,92,6,92,10,92,12,84,14,76,19,69,23,61,25,52,27,44,25,38,23,29,25,16,23,0,25,-10,25,-19,23,-29,21,-35,19,-44,16,-52,14,-59,12,-65,12,-65,0,0,0,0,0,0,0,0]"
1775617703.3631878,CSI_DATA,241335,08:40:f3:fd:1c:c1,-52,11,-99,8,43,1,512072293,83,0,512,0,"[0,0,0,0,0,0,0,0,0,0,16,46,16,46,14,42,14,40,10,40,8,40,6,38,4,31,2,33,0,31,-4,27,-8,21,-8,16,-10,12,-14,10,-19,6,-23,4,-25,2,-27,0,-29,-4,-33,-6,-38,-10,-38,-10,-40,-10,-38,-12,-38,-14,-38,-14,-35,-12,-35,-14,-35,-16,-35,-19,-33,-19,-33,-19,-27,-21,-27,-16,-25,-16,-21,-16,-16,-16,-12,-19,-8,-19,-8,-16,-6,-12,-2,-19,0,-21,6,-21,10,-16,12,-19,14,-21,19,-21,23,-21,25,-21,27,-21,29,-21,31,-23,29,-25,27,-27,29,-27,29,-27,31,-27,31,-29,27,-27,25,-23,25,-25,25,-25,21,-25,16,-23,14,-19,12,-12,10,-10,8,-8,6,-4,4,0,4,2,2,4,4,8,4,19,4,19,6,23,2,27,0,29,0,33,0,38,4,42,10,46,10,48,10,50,12,50,14,48,19,52,21,59,25,54,29,50,27,46,25,42,29,40,33,40,31,35,27,31,27,25,25,19,25,12,25,4,21,0,14,-8,10,-12,2,-14,0,-21,-2,-25,-8,-27,-12,-29,-21,-33,-31,-38,-38,-38,-44,-38,-50,-38,-52,-38,-59,-38,-63,-35,-73,-33,-84,-29,-86,-27,-86,-23,-78,33,0,0,-92,-2,-92,-2,-84,4,-76,10,-69,12,-61,14,-61,21,-61,27,-50,27,-40,25,-33,25,-25,25,-12,33,2,35,10,31,19,23,25,19,29,14,40,16,50,19,57,12,61,2,69,-2,76,-10,76,-16,78,-23,76,-27,76,-33,76,-38,76,-42,76,-54,71,-67,69,-67,65,-67,61,-69,57,-71,48,-73,42,-73,31,-73,23,-71,14,-65,8,-59,2,-54,-2,-48,-8,-46,-14,-40,-25,-33,-21,-23,-40,-12,-42,0,-42,10,-40,23,-35,31,-31,40,-38,46,-44,54,-38,61,-31,65,-25,71,-19,78,-16,88,-14,99,-6,99,4,99,8,95,14,90,14,90,16,90,25,90,33,86,33,80,33,71,42,69,50,63,50,52,48,40,48,38,46,33,46,21,42,8,40,-2,33,-12,27,-25,19,-33,12,-42,6,-50,0,-54,-4,-59,-14,-65,-27,-73,-29,-73,-38,-78,-42,-78,-44,-76,-50,-80,-54,-82,-61,-80,-67,-76,-73,-71,-78,-67,-78,-61,-76,-54,-80,-54,-84,-54,-78,-44,-71,-33,-65,-27,-57,-19,-57,-12,-57,-6,-46,-2,-35,2,-27,8,-16,14,-8,27,0,35,10,40,21,42,29,44,38,42,42,44,44,44,44,44,0,0,0,0,0,0,0,0]"
1775617703.3865843,CSI_DATA,241336,08:40:f3:fd:1c:c1,-52,11,-99,7,43,1,512093969,83,0,512,0,"[0,0,0,0,0,0,0,0,0,0,-21,-43,-21,-43,-23,-41,-23,-36,-19,-39,-13,-39,-10,-34,-10,-34,-4,-30,-2,-26,2,-21,6,-17,10,-15,13,-13,17,-10,21,-6,21,-6,21,-6,28,-4,32,-2,34,2,34,4,34,6,36,8,36,13,34,15,36,13,36,10,39,10,41,10,39,13,34,13,34,13,30,15,32,13,32,13,30,13,26,13,23,15,19,15,15,17,8,15,4,17,2,17,-2,19,-6,21,-8,23,-10,23,-15,23,-19,23,-19,23,-21,23,-23,26,-26,28,-23,28,-21,30,-21,32,-23,34,-23,34,-21,32,-19,30,-19,28,-19,28,-19,28,-17,26,-15,23,-15,19,-15,15,-10,10,-8,6,-8,6,-6,4,-8,-2,-4,-8,-4,-13,-2,-15,-4,-21,-2,-23,-4,-30,-6,-34,-6,-41,-8,-43,-15,-45,-21,-45,-19,-47,-19,-47,-23,-47,-28,-47,-28,-47,-28,-45,-32,-45,-34,-45,-36,-43,-36,-39,-41,-34,-45,-30,-41,-26,-34,-23,-34,-17,-32,-8,-28,-6,-26,-4,-21,2,-15,4,-10,10,-4,13,4,19,13,26,19,26,26,26,34,28,41,32,47,28,52,23,60,26,67,26,73,23,78,19,82,13,87,4,91,2,95,-2,82,-39,0,0,84,-13,84,-13,80,-19,73,-23,69,-28,65,-30,56,-39,50,-43,39,-41,26,-39,19,-36,8,-34,6,-36,4,-39,-4,-34,-10,-28,-21,-21,-30,-13,-43,-8,-54,-4,-60,6,-60,13,-69,23,-73,32,-73,36,-73,41,-73,50,-73,56,-69,63,-67,67,-60,76,-52,82,-47,87,-41,91,-36,87,-32,82,-26,80,-17,78,-10,76,-6,73,0,65,4,58,13,54,19,47,23,41,30,30,32,26,32,8,36,10,36,4,36,-6,34,-15,32,-26,28,-34,26,-52,21,-69,15,-73,10,-76,2,-80,-6,-84,-8,-91,-8,-97,-15,-97,-19,-95,-28,-93,-34,-93,-43,-89,-50,-87,-54,-82,-58,-76,-60,-69,-60,-63,-65,-56,-67,-47,-65,-43,-63,-36,-56,-21,-47,-4,-43,2,-36,10,-32,19,-23,26,-15,34,-6,41,2,43,8,45,19,52,30,58,39,60,43,67,52,65,60,67,67,67,76,65,80,63,84,60,91,54,95,47,95,45,95,43,95,36,95,28,91,26,89,21,84,15,80,8,73,6,65,2,60,-4,54,-13,43,-17,30,-19,21,-21,8,-23,2,-28,-4,-32,-15,-34,-23,-34,-32,-34,-41,-34,-50,-32,-54,-30,-56,-32,0,0,0,0,0,0,0,0]"
