type,id,mac,rssi,rate,noise_floor,fft_gain,agc_gain,channel,local_timestamp,sig_len,rx_state,len,first_word,data
CSI_DATA,16431,98:4a:6b:31:4a:10,-52,11,-95,-43,50,11,182823064,83,0,256,0,"[0,0,0,0,0,0,0,0,2,32,-9,29,-18,27,-25,20,-32,11,-34,2,-34,-6,-32,-18,-25,-27,-16,-32,-6,-34,4,-36,13,-34,20,-29,29,-23,34,-13,36,-2,36,4,34,13,29,23,23,32,13,36,4,39,-6,41,-13,36,-27,32,-34,25,-39,16,0,0,-39,-6,-34,-20,-25,-27,-18,-32,-6,-34,2,-34,11,-29,18,-25,20,-18,25,-13,27,-4,25,2,23,9,18,13,13,16,9,18,2,20,-2,18,-6,18,-6,13,-11,9,-11,4,-13,0,-11,-2,-13,-4,-9,-6,-4,-6,-4,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,18,-4,25,6,23,18,18,27,6,29,-6,23,-23,9,-29,-4,-32,-20,-25,-32,-13,-39,4,-32,23,-16,36,4,41,25,36,41,20,46,-2,41,-25,23,-43,-2,-52,-29,-48,-50,-27,-59,0,-52,29,-34,55,-4,66,29,59,0,0,64,11,64,-23,43,-50,13,-59,-18,-59,-43,-41,-55,-13,-55,16,-39,36,-16,48,11,48,34,36,46,11,46,-9,34,-29,13,-43,-9,-43,-27,-32,-36,-16,-39,4,-29,23,-18,34,0,36,18,32,27,16,29,2,27,-11,20,-25,0,0,0,0,0,0]"
CSI_DATA,16432,98:4a:6b:31:4a:10,-52,11,-95,-41,50,11,182832678,83,0,256,0,"[0,0,0,0,0,0,0,0,17,26,8,30,-2,32,-13,30,-21,26,-30,19,-34,8,-34,-4,-34,-13,-28,-21,-19,-30,-10,-34,0,-34,10,-34,19,-30,28,-23,32,-15,36,-6,36,4,34,13,30,21,23,30,15,36,4,39,-6,39,-21,36,-30,28,-36,19,0,0,-41,-2,-36,-15,-28,-23,-21,-28,-10,-32,0,-34,8,-30,17,-26,21,-21,23,-10,26,-2,23,2,21,8,17,13,13,17,6,17,0,17,0,17,-8,15,-8,13,-10,8,-13,2,-13,0,-13,-4,-10,-6,-6,-8,-2,-8,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,23,8,21,17,15,23,4,28,-8,21,-19,10,-30,-4,-30,-19,-28,-30,-15,-34,0,-32,19,-19,32,-2,39,17,39,34,26,43,4,43,-17,30,-36,8,-47,-17,-50,-39,-36,-54,-13,-58,13,-45,41,-21,60,8,65,36,52,0,0,67,2,60,-32,36,-54,6,-63,-23,-56,-47,-39,-56,-10,-52,15,-36,39,-15,50,10,50,32,36,45,15,45,-8,34,-28,17,-39,-4,-45,-21,-32,-34,-19,-39,-2,-34,17,-23,30,-6,34,8,34,23,23,30,8,32,-4,23,-17,0,0,0,0,0,0]"
CSI_DATA,16433,98:4a:6b:31:4a:10,-52,11,-95,-39,50,11,182843562,83,0,256,0,"[0,0,0,0,0,0,0,0,30,-4,30,6,28,14,24,22,18,30,8,34,-2,34,-12,34,-20,30,-26,22,-32,14,-36,6,-36,-4,-34,-12,-30,-20,-24,-26,-18,-32,-8,-36,0,-39,8,-36,18,-34,24,-30,32,-24,39,-14,41,-4,41,6,41,16,32,26,0,0,16,39,4,41,-6,39,-16,32,-20,28,-26,20,-28,12,-32,4,-28,-4,-24,-10,-20,-12,-16,-18,-12,-22,-6,-24,2,-22,6,-20,10,-20,14,-10,14,-8,16,-4,14,2,16,2,14,6,10,6,6,8,4,10,0,10,-2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,22,2,20,-10,14,-22,2,-26,-12,-26,-24,-18,-30,-6,-30,12,-22,26,-4,34,14,32,30,22,39,6,36,-16,24,-34,2,-43,-20,-41,-41,-26,-49,-2,-45,26,-26,45,0,55,28,49,51,32,63,0,55,-30,34,-55,0,0,-28,-59,-55,-34,-63,-4,-57,28,-32,49,-4,57,26,49,47,28,53,2,47,-22,26,-43,0,-49,-22,-39,-41,-22,-45,0,-39,22,-20,36,2,41,20,34,34,20,39,0,32,-18,18,-30,2,-32,-14,-28,-24,-18,-28,-2,-26,12,0,0,0,0,0,0]"
CSI_DATA,16434,98:4a:6b:31:4a:10,-52,11,-95,-41,50,11,182852895,83,0,256,0,"[0,0,0,0,0,0,0,0,-28,-15,-21,-23,-13,-30,-4,-32,6,-32,17,-32,26,-23,32,-17,34,-6,36,4,32,15,28,19,21,28,13,32,4,36,-4,36,-13,34,-23,28,-30,21,-32,15,-36,6,-36,-4,-34,-13,-30,-23,-26,-32,-17,-36,-6,-41,6,-41,0,0,28,-30,32,-21,36,-13,39,0,32,6,28,17,21,21,17,26,8,30,0,28,-8,26,-10,23,-15,17,-17,10,-19,6,-19,0,-17,-4,-15,-10,-10,-13,-8,-15,-2,-15,-2,-15,2,-10,6,-10,8,-8,10,-4,8,-2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-19,-17,-15,-23,-4,-26,6,-19,17,-8,28,4,28,19,23,32,13,32,-4,28,-21,15,-32,-4,-36,-21,-32,-34,-17,-41,2,-34,21,-17,43,6,50,28,41,43,23,52,-4,45,-28,26,-52,-2,-58,-28,-52,-52,-32,-63,-2,0,0,-39,56,-6,63,23,56,47,36,58,8,54,-19,36,-41,10,-52,-17,-50,-39,-32,-50,-8,-45,15,-30,34,-8,43,15,41,34,30,41,10,39,-10,28,-28,10,-39,-8,-36,-21,-28,-32,-13,-32,4,-26,19,-15,28,0,28,13,23,0,0,0,0,0,0]"
CSI_DATA,16435,98:4a:6b:31:4a:10,-50,11,-95,0,37,11,182862520,83,0,256,0,"[0,0,0,0,0,0,0,0,26,-29,38,-20,44,-8,41,5,41,20,35,32,23,38,8,44,-5,47,-17,44,-26,35,-41,29,-44,11,-47,0,-47,-11,-41,-26,-32,-35,-20,-44,-11,-50,2,-50,17,-47,29,-41,41,-32,50,-20,53,-5,56,5,53,23,41,38,0,0,8,56,-2,53,-20,50,-32,38,-38,32,-41,17,-44,2,-38,-8,-35,-17,-23,-26,-17,-29,-5,-32,0,-29,8,-29,14,-20,17,-17,23,-11,20,-2,20,5,17,8,14,11,11,14,5,17,0,17,-2,14,-5,11,-11,8,-14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,-2,26,-20,14,-32,0,-35,-20,-32,-35,-23,-38,-2,-41,14,-29,35,-8,44,11,47,35,35,50,17,53,-11,41,-41,20,-56,-8,-56,-38,-50,-62,-26,-68,5,-56,38,-32,68,5,77,41,68,71,44,83,2,80,-35,53,-68,0,0,-26,-89,-62,-59,-83,-26,-83,17,-62,53,-26,74,5,77,44,62,65,29,71,-2,59,-35,32,-56,0,-62,-29,-50,-50,-32,-62,-2,-53,20,-35,47,-8,50,17,50,35,38,47,11,47,-8,35,-29,17,-41,0,-38,-20,-32,-32,-23,0,0,0,0,0,0]"
CSI_DATA,16436,98:4a:6b:31:4a:10,-52,11,-95,-42,50,11,182872387,83,0,256,0,"[0,0,0,0,0,0,0,0,17,26,11,31,2,33,-8,29,-15,29,-26,22,-31,15,-35,8,-38,-4,-31,-13,-29,-17,-22,-26,-15,-33,-8,-35,2,-33,8,-33,17,-31,24,-29,31,-17,35,-11,35,-4,35,4,33,11,31,20,24,29,20,38,4,42,2,44,0,0,-20,33,-26,29,-33,15,-38,6,-35,4,-35,-4,-31,-13,-22,-20,-15,-22,-8,-24,0,-26,4,-22,8,-20,11,-15,15,-11,20,-6,20,-2,20,2,17,8,15,11,8,11,8,8,2,13,2,11,-2,13,-6,8,-4,8,-6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,20,20,13,24,2,22,-11,17,-22,2,-29,-11,-31,-24,-20,-35,-2,-33,13,-20,29,-2,40,20,35,31,20,42,2,38,-22,24,-38,0,-51,-26,-42,-42,-22,-49,2,-42,31,-24,51,6,64,31,49,60,29,60,-6,0,0,26,-55,-4,-64,-33,-53,-55,-24,-58,0,-44,26,-20,47,6,53,31,40,49,20,49,-6,38,-29,17,-40,-4,-47,-26,-33,-42,-15,-42,8,-31,26,-13,38,8,35,26,29,33,11,35,-6,24,-20,13,-29,-4,-29,-20,-24,-24,-11,0,0,0,0,0,0]"
CSI_DATA,16437,98:4a:6b:31:4a:10,-52,11,-95,-40,50,11,182882120,83,0,256,0,"[0,0,0,0,0,0,0,0,31,-6,31,2,29,12,25,21,16,29,8,35,-2,35,-12,33,-21,29,-27,23,-33,12,-35,6,-35,-4,-33,-12,-29,-21,-23,-29,-14,-33,-4,-35,4,-38,14,-33,23,-31,31,-25,35,-19,40,-6,40,4,40,12,35,23,25,33,0,0,6,42,-6,40,-14,38,-23,29,-27,23,-31,12,-29,4,-31,-6,-25,-12,-21,-19,-14,-21,-10,-23,-4,-25,2,-23,8,-19,12,-14,14,-12,16,-6,16,0,16,2,12,6,12,8,8,10,6,12,2,10,-2,10,-4,10,-6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,23,-2,23,-12,14,-23,2,-27,-12,-27,-25,-16,-31,-4,-31,12,-21,25,-6,35,12,33,29,25,40,6,38,-14,27,-33,6,-42,-14,-42,-38,-31,-48,-8,-48,19,-35,40,-8,54,19,52,44,42,59,12,61,-19,48,-46,0,0,-14,-65,-44,-46,-61,-23,-61,10,-46,40,-21,54,10,57,33,42,50,19,52,-6,40,-29,16,-44,-4,-46,-29,-35,-40,-14,-44,6,-33,25,-16,40,4,42,23,33,35,16,38,-2,29,-19,16,-29,0,-33,-12,-29,-23,-16,-29,-4,0,0,0,0,0,0]"
CSI_DATA,16438,98:4a:6b:31:4a:10,-50,11,-95,1,37,11,182892321,83,0,256,0,"[0,0,0,0,0,0,0,0,-23,34,-31,23,-37,14,-40,0,-43,-14,-40,-26,-29,-37,-11,-43,0,-49,11,-46,23,-40,34,-31,40,-20,49,-8,49,5,46,17,40,31,29,40,17,46,0,46,-5,49,-20,49,-34,37,-46,31,-52,14,-58,-2,-58,-14,-46,-29,0,0,-20,-52,-11,-52,8,-49,20,-46,31,-34,40,-26,40,-11,40,-2,37,11,31,20,23,23,14,29,8,29,0,31,-8,23,-14,17,-20,17,-20,11,-20,0,-17,-2,-17,-8,-17,-14,-8,-11,-5,-17,-2,-14,2,-14,5,-14,8,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,8,-23,23,-8,31,5,34,23,29,37,17,40,-2,34,-23,23,-34,2,-46,-23,-46,-40,-29,-55,-8,-49,20,-34,46,-8,58,20,55,49,43,66,14,63,-17,46,-52,17,-72,-20,-75,-55,-60,-78,-29,-84,11,-72,55,-40,78,0,0,46,81,81,46,87,2,78,-34,52,-66,11,-78,-26,-72,-58,-46,-72,-14,-69,17,-49,49,-14,63,17,60,43,46,58,17,60,-8,46,-37,23,-52,-2,-52,-29,-46,-46,-23,-52,0,-40,23,-26,37,-5,43,14,40,31,29,37,11,0,0,0,0,0,0]"
CSI_DATA,16439,98:4a:6b:31:4a:10,-49,11,-95,-1,37,11,182902381,83,0,256,0,"[0,0,0,0,0,0,0,0,36,-27,36,-15,43,-6,43,9,39,21,30,33,27,39,9,46,3,49,-12,46,-27,43,-36,33,-39,24,-46,12,-49,3,-46,-6,-46,-21,-39,-33,-30,-36,-21,-46,-9,-52,6,-52,12,-52,27,-46,39,-36,52,-30,55,-12,55,-6,0,0,49,27,39,36,30,43,12,49,3,46,-9,46,-18,39,-27,33,-30,21,-33,12,-33,6,-30,-3,-30,-9,-21,-18,-18,-21,-15,-24,-6,-24,3,-21,6,-21,9,-18,15,-15,15,-9,15,-9,15,3,18,0,12,3,9,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,27,-15,15,-27,0,-33,-18,-33,-36,-24,-43,-3,-39,18,-24,39,-3,46,18,43,43,27,52,3,49,-24,30,-49,-3,-61,-30,-52,-58,-27,-64,3,-55,36,-27,67,6,76,46,61,73,30,82,-12,67,-49,33,-82,-6,-82,0,0,-79,-33,-92,9,-70,49,-33,79,12,82,49,61,73,27,73,-12,58,-49,24,-67,-12,-64,-46,-49,-61,-15,-61,15,-43,43,-12,58,15,58,36,39,55,15,46,-15,33,-36,15,-49,-15,-49,-33,-33,-43,-12,-39,9,-30,27,-12,39,0,0,0,0,0,0]"
CSI_DATA,16440,98:4a:6b:31:4a:10,-52,11,-95,-38,50,11,182912572,83,0,256,0,"[0,0,0,0,0,0,0,0,23,-17,29,-11,29,0,31,11,27,15,25,25,11,27,3,37,-3,37,-11,31,-21,21,-23,15,-31,11,-33,0,-37,-9,-33,-13,-27,-17,-19,-29,-11,-35,-5,-31,5,-35,15,-35,29,-31,29,-27,37,-15,45,-7,39,3,33,17,0,0,25,39,11,37,3,35,-9,29,-11,35,-17,25,-23,11,-23,3,-31,-1,-25,-9,-19,-11,-21,-13,-13,-17,-3,-19,-5,-17,1,-21,1,-15,11,-13,15,-7,13,-9,13,-1,9,1,9,3,11,5,7,9,7,11,0,9,-1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,21,-7,11,-15,0,-25,-9,-23,-23,-21,-25,-5,-27,13,-19,27,-5,29,13,31,25,19,33,9,39,-13,25,-31,9,-39,-11,-37,-31,-25,-51,-7,-47,13,-35,39,-9,47,17,51,37,33,57,15,63,-13,45,-39,19,-55,0,0,-45,-49,-55,-19,-59,7,-41,37,-19,57,9,57,33,39,53,17,49,-5,39,-29,19,-43,-3,-47,-25,-31,-43,-15,-41,5,-37,27,-15,37,5,39,23,27,33,13,35,-1,25,-21,13,-27,1,-33,-13,-27,-25,-17,-25,0,-25,11,0,0,0,0,0,0]"
