type,id,mac,rssi,rate,noise_floor,fft_gain,agc_gain,channel,local_timestamp,sig_len,rx_state,len,first_word,data
CSI_DATA,111958,98:4a:6b:31:4a:10,-59,11,-98,-50,59,11,1136676061,83,0,256,0,"[0,0,0,0,0,0,0,0,4,3,3,3,2,4,0,5,0,4,-2,4,-3,4,-3,3,-5,2,-5,1,-5,-2,-5,-2,-5,-4,-3,-6,-1,-8,1,-7,3,-7,7,-6,8,-2,11,-3,12,3,8,6,8,11,4,14,0,14,-5,13,-11,13,-15,8,0,0,-17,-2,-15,-6,-12,-11,-6,-15,-1,-15,3,-15,8,-14,12,-8,14,-6,15,-1,14,2,13,6,10,12,4,15,0,15,-5,15,-8,12,-12,7,-14,2,-16,-2,-14,-7,-8,-13,-5,-13,0,-14,5,-15,10,-12,13,-4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,21,4,21,-4,19,-12,12,-20,3,-25,-6,-23,-16,-21,-23,-12,-26,-3,-25,10,-20,19,-8,26,3,28,15,24,24,15,30,5,26,-10,22,-22,8,-28,-4,-31,-17,-28,-26,-19,-33,-3,-31,10,-24,24,-12,33,2,34,0,0,29,21,32,3,32,-11,21,-21,8,-28,-4,-28,-14,-23,-22,-13,-26,-1,-21,8,-13,19,-3,22,6,22,15,16,20,5,21,-4,16,-12,8,-17,1,-20,-6,-17,-15,-13,-20,-5,-19,3,-14,11,-8,15,-2,19,6,16,13,13,0,0,0,0,0,0]"
CSI_DATA,111959,98:4a:6b:31:4a:10,-53,11,-98,20,37,11,1136685072,83,0,256,0,"[0,0,0,0,0,0,0,0,0,9,0,11,-1,9,-7,7,-9,3,-9,0,-15,1,-13,-1,-11,-7,-11,-7,-9,-13,-7,-15,-1,-15,5,-18,9,-15,13,-11,22,-13,22,-3,24,1,22,5,22,16,15,24,7,30,0,32,-11,33,-20,28,-28,22,-32,11,0,0,-37,-13,-28,-24,-22,-32,-11,-37,-1,-35,11,-35,22,-26,26,-22,32,-11,35,-1,32,7,28,13,26,26,15,30,5,33,-7,33,-18,30,-24,24,-33,13,-33,5,-35,-5,-28,-16,-20,-28,-9,-30,1,-33,15,-28,22,-24,28,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,39,13,39,28,30,39,15,45,-3,41,-20,30,-37,11,-45,-13,-48,-32,-35,-47,-20,-54,3,-47,24,-28,45,-5,52,20,54,43,37,54,15,58,-15,45,-37,22,-58,-5,-60,-35,-54,-56,-30,-65,0,-64,32,-43,56,-13,67,0,0,43,52,67,20,65,-9,48,-35,22,-52,-3,-56,-28,-47,-45,-26,-47,-3,-43,22,-28,37,-5,48,18,43,37,26,45,7,43,-15,28,-32,9,-41,-9,-37,-26,-30,-37,-13,-43,3,-33,24,-20,30,-5,37,11,33,26,24,35,13,0,0,0,0,0,0]"
CSI_DATA,111960,98:4a:6b:31:4a:10,-59,11,-98,-54,60,11,1136694944,83,0,256,0,"[0,0,0,0,0,0,0,0,2,4,1,4,0,4,0,4,-2,4,-3,3,-4,2,-4,1,-5,0,-6,-1,-5,-3,-4,-5,-3,-6,-1,-7,2,-8,4,-7,7,-6,10,-4,10,-1,11,2,11,6,8,10,5,13,1,14,-2,15,-8,13,-13,11,-15,6,0,0,-16,-5,-14,-11,-8,-15,-5,-16,1,-16,6,-15,11,-12,14,-7,16,-4,15,1,15,5,12,10,8,13,3,15,-1,15,-6,14,-11,12,-14,7,-15,3,-15,-2,-13,-7,-10,-13,-4,-15,1,-14,5,-14,11,-10,13,-5,14,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,17,13,21,5,22,-4,20,-13,13,-21,3,-25,-6,-25,-16,-20,-22,-11,-28,0,-25,12,-17,21,-5,28,6,28,17,22,26,12,30,0,26,-14,17,-24,5,-31,-8,-31,-22,-23,-31,-12,-33,3,-29,17,-17,29,-4,34,0,0,23,25,31,10,31,-4,25,-17,14,-25,1,-28,-12,-24,-21,-15,-24,-5,-23,6,-17,16,-5,22,5,22,13,16,19,8,21,-1,19,-11,10,-16,2,-20,-6,-17,-14,-13,-19,-5,-19,3,-15,10,-10,15,-2,17,6,17,12,13,0,0,0,0,0,0]"
CSI_DATA,111961,98:4a:6b:31:4a:10,-53,11,-98,14,37,11,1136704027,83,0,256,0,"[0,0,0,0,0,0,0,0,6,-6,8,-4,8,-2,4,0,11,4,11,2,4,11,2,15,-2,15,-2,15,-8,13,-8,13,-11,8,-17,6,-20,2,-20,-6,-17,-13,-15,-13,-13,-20,-2,-24,-2,-24,8,-24,20,-24,24,-22,29,-11,38,-4,35,8,31,20,0,0,13,35,2,38,-11,35,-15,33,-26,29,-35,17,-40,8,-38,-6,-33,-13,-26,-24,-22,-31,-11,-33,0,-35,13,-31,17,-29,26,-24,35,-13,35,-2,31,8,31,20,17,29,11,31,2,35,-8,33,-17,26,-26,17,-31,8,-33,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-15,29,-29,15,-40,-2,-42,-26,-38,-42,-24,-49,-6,-44,13,-35,35,-15,49,4,53,31,44,49,24,53,2,49,-26,29,-47,6,-55,-24,-49,-47,-38,-60,-15,-60,17,-42,42,-22,55,13,62,42,55,60,29,67,-4,55,-35,0,0,6,-69,-26,-60,-49,-33,-60,-15,-55,15,-40,42,-13,53,13,51,35,40,49,20,47,-8,33,-31,15,-42,-8,-44,-29,-38,-40,-17,-40,2,-35,26,-20,35,-4,40,17,35,33,22,40,2,35,-8,24,-26,13,-33,-6,-35,-22,-26,0,0,0,0,0,0]"
CSI_DATA,111962,98:4a:6b:31:4a:10,-59,11,-98,-49,59,11,1136715154,83,0,256,0,"[0,0,0,0,0,0,0,0,-1,-4,0,-4,2,-3,2,-3,4,-2,5,-1,5,-1,5,1,5,2,4,3,4,5,3,7,1,7,-2,7,-5,7,-6,6,-8,3,-9,2,-10,-2,-9,-5,-8,-8,-5,-10,-2,-13,3,-14,6,-13,11,-9,14,-6,16,-2,0,0,15,9,10,13,5,16,0,17,-4,16,-10,13,-14,9,-15,4,-16,0,-15,-4,-13,-7,-9,-11,-5,-14,0,-15,4,-15,8,-13,13,-9,14,-4,15,1,14,5,11,10,7,14,2,15,-4,14,-7,11,-11,8,-14,4,-14,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-21,-10,-19,-18,-13,-22,-4,-23,5,-20,15,-13,22,-3,26,8,26,19,19,26,9,29,-3,25,-15,15,-25,3,-29,-10,-28,-21,-20,-29,-9,-31,5,-26,18,-15,29,0,32,15,30,28,21,34,7,34,-9,26,-25,14,-33,0,0,-16,-31,-28,-18,-32,-4,-29,10,-19,21,-7,27,5,27,16,19,23,9,25,-1,20,-13,10,-20,0,-22,-9,-20,-17,-13,-21,-3,-20,7,-15,15,-6,19,3,20,10,17,18,9,19,0,18,-7,13,-14,5,-17,-3,-18,-10,-15,0,0,0,0,0,0]"
CSI_DATA,111963,98:4a:6b:31:4a:10,-59,11,-98,-46,59,11,1136724434,83,0,256,0,"[0,0,0,0,0,0,0,0,3,-5,3,-4,3,-2,4,0,5,1,5,1,6,3,5,4,4,5,2,7,1,7,-1,8,-3,7,-6,7,-8,5,-9,3,-10,0,-12,-2,-10,-5,-9,-8,-6,-12,-3,-14,1,-14,7,-15,10,-13,15,-10,17,-7,18,0,0,0,15,11,12,16,7,18,2,18,-3,18,-7,16,-12,13,-14,9,-17,4,-17,0,-16,-5,-14,-10,-11,-13,-7,-14,-2,-16,4,-16,8,-15,12,-12,15,-8,16,-3,17,3,16,8,12,12,7,15,2,16,-4,15,-9,14,-13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-16,6,-21,-3,-22,-13,-19,-22,-12,-24,-1,-24,10,-17,20,-7,26,5,27,17,22,26,12,29,-2,24,-15,15,-24,2,-30,-13,-27,-23,-18,-30,-5,-30,10,-21,23,-8,31,9,31,23,24,32,12,34,-5,27,-22,16,-32,0,0,-16,-30,-27,-17,-31,-3,-28,13,-17,24,-3,28,10,25,21,16,25,5,24,-7,16,-18,4,-22,-8,-21,-17,-14,-21,-5,-21,6,-14,15,-6,20,4,20,13,15,19,7,20,-3,16,-12,9,-17,1,-18,-7,-17,-15,-10,-17,-3,0,0,0,0,0,0]"
CSI_DATA,111964,98:4a:6b:31:4a:10,-53,11,-98,12,37,11,1136733413,83,0,256,0,"[0,0,0,0,0,0,0,0,-7,-4,-4,-7,-4,-9,0,-7,4,-11,2,-9,4,-9,9,-9,11,-7,9,-4,16,2,18,0,14,4,16,14,11,16,9,18,4,23,-4,23,-7,23,-16,21,-18,18,-28,16,-28,7,-35,-2,-30,-11,-28,-14,-30,-28,-16,-37,0,0,4,-42,11,-37,23,-33,30,-23,33,-14,37,-7,35,4,33,9,30,21,21,30,14,33,7,33,-2,37,-11,33,-23,28,-23,23,-33,14,-35,2,-35,-4,-33,-14,-28,-21,-18,-33,-9,-30,0,-35,11,-33,21,-26,26,-21,33,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,-33,-30,-23,-42,-7,-42,11,-30,28,-14,42,9,47,30,37,47,23,49,-4,45,-28,23,-45,-4,-54,-26,-47,-45,-26,-54,-2,-49,30,-28,52,0,61,30,52,49,30,61,-2,52,-28,33,-54,7,-66,-30,-59,-54,-35,-66,-7,0,0,-37,56,-2,68,26,54,52,35,59,4,49,-23,30,-45,0,-52,-26,-42,-42,-26,-49,-2,-35,21,-16,42,4,40,26,35,40,16,42,-7,33,-26,16,-37,-7,-40,-23,-33,-33,-14,-40,2,-30,23,-18,33,2,40,18,30,30,18,0,0,0,0,0,0]"
CSI_DATA,111965,98:4a:6b:31:4a:10,-59,11,-98,-48,59,11,1136745709,83,0,256,0,"[0,0,0,0,0,0,0,0,3,-4,4,-2,4,-1,4,-1,4,1,5,2,3,2,4,4,2,5,2,6,0,7,-2,7,-3,7,-5,6,-7,4,-9,2,-9,-1,-9,-2,-9,-5,-8,-8,-5,-11,-3,-12,1,-13,5,-12,9,-11,13,-9,15,-6,18,0,0,0,14,9,11,13,6,16,2,16,-2,15,-8,14,-11,12,-14,9,-15,4,-15,0,-15,-4,-12,-8,-10,-11,-6,-14,-2,-15,2,-15,7,-14,10,-11,13,-7,14,-3,15,2,14,7,11,10,7,13,2,14,-2,13,-6,13,-10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-14,7,-20,-2,-22,-10,-19,-21,-13,-25,-3,-24,8,-20,16,-9,25,3,26,15,22,25,12,28,0,26,-13,16,-24,2,-28,-11,-27,-23,-19,-30,-6,-29,8,-22,23,-7,31,7,31,23,25,31,13,34,-5,28,-21,15,-31,0,0,-16,-30,-28,-16,-31,-2,-28,13,-16,24,-3,27,10,24,20,15,25,4,23,-8,15,-19,3,-22,-7,-20,-16,-13,-21,-4,-21,7,-13,15,-5,20,5,20,13,14,19,7,20,-3,14,-12,7,-18,-1,-18,-8,-15,-15,-9,-18,-2,0,0,0,0,0,0]"
CSI_DATA,111966,98:4a:6b:31:4a:10,-53,11,-98,14,37,11,1136756937,83,0,256,0,"[0,0,0,0,0,0,0,0,-2,-6,2,-11,2,-8,4,-8,8,-4,15,0,13,0,13,4,11,8,11,11,8,11,2,15,-2,15,-8,17,-13,17,-17,11,-22,4,-24,-2,-24,-8,-17,-15,-13,-22,-11,-26,2,-31,11,-33,22,-24,26,-22,33,-15,35,2,0,0,33,29,17,35,8,35,2,38,-15,35,-24,29,-29,22,-38,11,-35,-2,-35,-11,-26,-20,-22,-31,-11,-31,2,-33,13,-31,17,-29,29,-17,31,-8,35,2,33,13,26,24,17,33,4,35,-6,31,-17,31,-26,20,-33,8,-31,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-38,-11,-40,-24,-33,-38,-20,-47,0,-47,15,-33,33,-17,47,4,51,26,44,42,29,51,8,53,-20,38,-40,17,-51,-11,-55,-33,-44,-51,-29,-58,-2,-51,26,-35,44,-8,60,20,60,47,47,62,22,69,-11,51,-38,35,-62,0,0,-29,-64,-53,-42,-62,-13,-60,17,-44,42,-15,49,8,51,33,42,47,22,49,-2,42,-22,24,-40,0,-44,-20,-38,-38,-26,-47,-6,-42,13,-29,29,-13,40,6,40,24,33,35,17,38,-2,38,-17,22,-26,8,-35,-6,-35,-24,-26,0,0,0,0,0,0]"
CSI_DATA,111967,98:4a:6b:31:4a:10,-53,11,-98,14,37,11,1136766649,83,0,256,0,"[0,0,0,0,0,0,0,0,-4,8,-6,6,-6,6,-8,2,-8,0,-8,0,-11,-6,-11,-6,-11,-13,-8,-13,-2,-13,0,-17,6,-17,13,-13,17,-13,17,-8,24,0,24,0,24,8,17,15,17,22,8,29,0,31,-11,33,-17,33,-24,26,-33,20,-31,8,0,0,-38,-20,-33,-29,-20,-33,-13,-31,0,-38,8,-35,22,-33,29,-22,33,-13,35,-2,38,4,35,15,29,24,20,29,8,33,2,33,-11,38,-17,26,-26,22,-31,11,-38,4,-35,-8,-26,-20,-20,-29,-11,-35,2,-33,8,-33,20,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,29,-11,40,4,40,24,38,38,22,49,2,44,-17,31,-35,11,-49,-13,-51,-31,-40,-51,-20,-55,0,-44,31,-26,49,0,55,29,51,49,33,55,4,55,-24,38,-51,8,-62,-24,-60,-47,-44,-64,-13,-64,22,-47,49,-24,67,0,0,40,53,62,24,64,-6,51,-31,26,-49,-2,-55,-26,-44,-44,-24,-51,-2,-42,22,-24,42,2,47,26,38,40,22,42,2,40,-20,22,-35,2,-38,-13,-35,-35,-22,-40,-2,-35,13,-24,31,-8,40,8,38,22,26,33,13,35,-2,0,0,0,0,0,0]"
