timestamp,type,id,mac,rssi,rate,noise_floor,fft_gain,agc_gain,channel,local_timestamp,sig_len,rx_state,len,first_word,data
1773393782.0534523,CSI_DATA,353785,98:4a:6b:31:4a:10,-53,11,-98,-51,52,1,550905232,83,0,256,0,"[0,0,0,0,0,0,0,0,-5,5,-10,0,-10,0,-5,-5,0,-5,0,-5,10,-10,10,-5,10,0,5,5,10,10,5,16,0,16,-5,16,-16,10,-21,5,-21,0,-21,0,-27,-10,-10,-21,-5,-27,0,-32,10,-32,27,-21,32,-10,43,5,38,16,21,38,0,0,-5,49,-27,43,-43,21,-43,10,-49,-10,-38,-32,-27,-43,-10,-49,5,-43,27,-38,43,-27,43,-5,43,5,38,21,16,32,5,38,-5,43,-21,32,-27,21,-32,5,-38,-10,-32,-21,-21,-32,-5,-32,10,-32,21,-21,27,-21,32,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,76,43,65,65,49,81,10,87,-16,81,-49,54,-81,21,-92,-21,-103,-60,-81,-92,-54,-109,-10,-109,27,-87,76,-49,103,0,114,49,103,98,81,125,38,136,-21,120,-76,71,-125,16,-147,-43,-147,-103,-125,-147,-76,-169,-10,-163,60,0,0,-65,158,-5,174,60,158,125,114,147,60,152,-10,131,-71,87,-114,27,-142,-21,-136,-76,-114,-109,-71,-125,-16,-120,38,-92,81,-54,109,-5,120,43,109,81,81,103,38,109,-5,98,-38,76,-76,43,-87,5,-92,-32,-81,-60,-65,-71,-43,0,0,0,0,0,0]"
1773393782.059593,CSI_DATA,353786,98:4a:6b:31:4a:10,-51,11,-98,3,37,1,550916160,83,0,256,0,"[0,0,0,0,0,0,0,0,0,6,-6,6,-19,6,-12,-6,-6,-12,0,-12,0,-19,6,-19,6,-6,12,0,12,6,12,12,6,12,6,19,0,25,-6,19,-19,12,-25,12,-32,6,-32,-12,-32,-32,-12,-32,-6,-38,12,-38,25,-25,38,-19,45,-6,45,25,0,0,25,45,0,58,-38,58,-51,32,-45,19,-64,-6,-51,-25,-32,-38,-25,-45,6,-51,25,-45,38,-32,51,-19,51,0,45,19,32,32,12,45,-6,51,-19,38,-38,32,-45,12,-45,-6,-38,-25,-32,-32,-12,-38,6,-32,19,-32,38,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,25,97,-6,97,-38,77,-77,32,-110,0,-116,-51,-116,-90,-90,-116,-51,-129,0,-129,51,-97,97,-58,129,6,149,71,136,116,97,149,45,162,-32,136,-97,97,-142,25,-168,-51,-168,-110,-142,-175,-90,-194,-19,-194,64,-149,149,-97,194,0,0,64,214,149,162,201,90,207,12,188,-71,136,-136,71,-168,0,-181,-71,-162,-129,-116,-168,-58,-162,19,-142,71,-97,116,-32,155,25,155,77,123,116,90,155,32,136,-19,123,-71,77,-103,32,-123,-12,-123,-51,-103,-84,-71,-103,-32,-103,0,0,0,0,0,0,0]"
1773393782.0760174,CSI_DATA,353787,98:4a:6b:31:4a:10,-53,11,-98,-50,52,1,550926833,83,0,256,0,"[0,0,0,0,0,0,0,0,0,-5,5,-5,10,0,10,0,10,5,10,5,5,10,0,10,-10,10,-10,10,-15,0,-15,-5,-15,-10,-15,-15,-10,-15,0,-15,10,-15,21,-10,26,-5,26,5,26,15,21,26,5,31,-5,37,-21,31,-37,15,-42,5,-42,-15,0,0,-21,-42,0,-47,21,-37,37,-26,47,-15,47,5,37,21,26,37,10,47,-5,42,-21,31,-37,21,-42,5,-37,-10,-31,-26,-21,-31,-5,-42,10,-37,26,-31,31,-15,37,0,31,15,26,26,15,31,0,37,-15,31,-26,21,-31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-10,-79,15,-74,42,-53,69,-21,84,10,95,42,84,74,69,95,37,100,0,100,-47,69,-74,37,-106,-10,-116,-53,-100,-95,-74,-116,-31,-127,15,-111,69,-74,111,-26,132,26,138,84,122,132,84,159,26,159,-37,138,-100,90,-148,0,0,-37,-175,-100,-143,-143,-95,-164,-31,-153,31,-127,84,-79,127,-26,143,31,143,79,111,122,69,127,15,122,-37,100,-79,58,-111,10,-122,-31,-111,-74,-90,-100,-58,-111,-15,-111,26,-84,63,-53,84,-15,95,15,95,47,79,69,58,79,26,0,0,0,0,0,0]"
1773393782.0824523,CSI_DATA,353788,98:4a:6b:31:4a:10,-51,11,-98,4,37,1,550937691,83,0,256,0,"[0,0,0,0,0,0,0,0,-6,-6,0,-6,0,-12,6,0,6,-6,12,-12,18,0,18,0,12,6,12,18,0,18,0,18,-12,12,-18,12,-18,12,-25,0,-18,-6,-18,-12,-6,-25,0,-31,6,-37,18,-37,31,-25,37,-6,44,6,44,12,31,31,18,50,0,0,-31,50,-31,31,-50,25,-56,0,-50,-25,-50,-37,-25,-50,-12,-56,12,-50,25,-44,37,-31,50,-6,50,6,44,25,31,37,12,50,-6,50,-12,50,-31,31,-44,12,-50,-6,-37,-12,-37,-25,-18,-31,-6,-44,6,-44,25,-31,44,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44,88,0,107,44,100,75,63,107,44,119,-6,100,-50,82,-100,31,-119,-25,-126,-82,-107,-119,-69,-145,-12,-138,56,-94,107,-44,138,18,151,94,132,145,88,164,12,157,-56,119,-132,56,-176,-31,-189,-100,-176,-176,-113,-208,-31,-208,56,0,0,-100,208,0,214,82,189,157,132,189,56,189,-25,157,-100,94,-157,18,-176,-56,-164,-126,-119,-157,-56,-157,18,-132,82,-75,132,-18,151,44,145,94,113,132,63,138,6,126,-56,94,-94,44,-119,-6,-119,-50,-107,-94,-75,-107,-37,-107,6,0,0,0,0,0,0]"
1773393782.0993981,CSI_DATA,353789,98:4a:6b:31:4a:10,-51,11,-98,5,37,1,550951836,83,0,256,0,"[0,0,0,0,0,0,0,0,0,-6,6,0,6,6,0,6,6,12,6,12,-6,12,-12,6,-12,0,-18,0,-12,-6,-12,-12,-6,-18,6,-18,12,-18,18,-12,30,-12,30,6,18,12,24,30,12,24,-6,36,-12,30,-36,30,-36,6,-42,-6,-49,-24,-30,-42,0,0,18,-61,24,-42,42,-36,55,-12,49,18,49,30,24,42,6,55,-12,49,-36,42,-42,30,-49,12,-49,-12,-42,-30,-24,-42,-6,-49,12,-49,24,-42,42,-30,49,-6,49,6,30,30,30,36,12,49,-18,36,-18,36,-36,18,-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-79,-85,-55,-104,-12,-104,24,-98,61,-67,98,-30,116,24,122,67,110,104,73,128,24,128,-30,116,-85,73,-122,12,-141,-49,-141,-104,-116,-147,-67,-165,6,-147,67,-116,128,-55,171,18,183,91,171,165,116,208,55,214,-36,190,-116,0,0,49,-214,-42,-214,-110,-183,-177,-116,-202,-30,-196,49,-153,110,-85,159,-18,177,42,165,110,128,153,67,153,6,141,-61,104,-116,55,-147,-6,-153,-67,-128,-116,-98,-134,-36,-134,12,-122,61,-91,104,-42,110,6,116,42,104,79,79,91,49,0,0,0,0,0,0]"
1773393782.107999,CSI_DATA,353790,98:4a:6b:31:4a:10,-51,11,-98,3,37,1,550964397,83,0,256,0,"[0,0,0,0,0,0,0,0,0,0,-6,6,-6,0,-12,6,-6,0,-6,-12,0,-12,-6,-12,6,-12,6,-12,12,-6,25,-12,19,6,25,6,12,19,12,19,6,19,-12,25,-19,25,-25,25,-32,12,-32,6,-38,-19,-25,-32,-12,-45,0,-45,12,-51,32,-45,0,0,58,0,64,19,45,38,32,51,12,64,-12,58,-25,45,-45,32,-51,19,-58,-6,-45,-25,-32,-38,-25,-45,-6,-58,19,-51,25,-38,38,-25,45,-6,45,6,38,25,25,38,12,51,-6,45,-19,38,-25,32,-38,12,-38,6,-38,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,-6,90,-38,64,-77,32,-97,-19,-110,-58,-97,-90,-64,-116,-19,-123,32,-97,77,-58,123,-6,136,51,123,110,90,142,38,149,-32,116,-90,71,-142,0,-162,-71,-149,-129,-110,-175,-45,-175,32,-155,116,-90,168,-12,214,84,194,155,149,0,0,220,-12,194,-110,123,-175,38,-194,-51,-194,-123,-149,-168,-84,-181,-6,-155,71,-116,129,-45,168,32,155,103,123,142,64,149,0,136,-58,97,-116,38,-136,-12,-142,-71,-123,-110,-84,-129,-25,-123,25,-103,64,-58,97,-12,116,25,103,64,84,0,0,0,0,0,0]"
1773393782.1253579,CSI_DATA,353791,98:4a:6b:31:4a:10,-51,11,-98,3,37,1,550974686,83,0,256,0,"[0,0,0,0,0,0,0,0,0,0,6,-6,6,-6,12,-6,6,6,6,12,6,6,0,12,-6,19,-12,6,-19,6,-12,6,-12,0,-25,-6,-12,-19,-12,-25,6,-25,6,-25,19,-25,25,-12,32,-6,38,12,32,25,25,38,19,45,-6,45,-25,38,-38,45,0,0,-58,0,-51,-32,-38,-45,-19,-45,6,-58,25,-45,38,-38,45,-19,58,-6,51,19,38,32,25,45,6,51,-12,51,-25,38,-38,25,-45,19,-51,-6,-38,-25,-32,-38,-19,-51,6,-45,19,-45,32,-25,38,-25,45,0,45,19,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97,6,-90,38,-64,71,-32,103,0,116,58,110,97,71,116,38,123,-19,103,-64,71,-110,19,-136,-38,-136,-97,-103,-136,-58,-149,12,-129,77,-90,129,-32,162,45,162,116,136,162,77,194,-6,175,-77,129,-149,64,-207,-38,-220,-116,-181,0,0,-220,-25,-214,58,-162,136,-84,201,0,201,77,175,142,123,175,51,181,-25,142,-90,90,-142,12,-162,-51,-149,-110,-110,-142,-51,-155,12,-136,77,-84,116,-32,142,32,136,77,110,116,77,129,19,123,-32,97,-71,58,-97,12,-97,-25,-103,0,0,0,0,0,0]"
1773393782.1328633,CSI_DATA,353792,98:4a:6b:31:4a:10,-53,11,-98,-51,52,1,550985598,83,0,256,0,"[0,0,0,0,0,0,0,0,-5,-5,0,-5,0,-10,5,-10,10,-5,10,0,10,5,10,5,5,10,0,10,-5,16,-10,10,-10,10,-16,5,-16,-5,-16,-10,-10,-16,-5,-21,5,-27,10,-21,21,-16,32,-10,32,0,32,16,27,27,10,38,0,43,-16,43,0,0,-43,16,-49,0,-43,-21,-32,-38,-16,-43,5,-49,21,-43,32,-32,38,-16,43,0,38,16,32,32,16,38,0,43,-10,38,-27,32,-38,21,-38,5,-38,-10,-27,-27,-16,-32,-5,-38,10,-38,21,-27,27,-21,32,-5,32,10,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,43,-43,65,-16,76,16,87,49,76,81,54,92,21,98,-21,81,-60,49,-81,10,-103,-32,-103,-71,-81,-103,-43,-114,5,-103,54,-76,98,-27,120,27,125,76,103,125,65,142,10,142,-54,109,-114,60,-147,-10,-169,-81,-152,-131,-109,0,0,-174,21,-147,92,-98,142,-32,163,38,158,92,125,131,71,147,10,131,-49,98,-92,49,-125,-10,-131,-65,-109,-103,-76,-120,-21,-120,27,-98,71,-60,98,-16,114,27,109,65,87,92,49,103,10,92,-32,71,-60,43,-81,5,-87,-21,-87,0,0,0,0,0,0]"
1773393782.1400163,CSI_DATA,353793,98:4a:6b:31:4a:10,-53,11,-98,-56,53,1,550995600,83,0,256,0,"[0,0,0,0,0,0,0,0,0,5,-5,0,-5,0,-5,-5,-5,-5,0,-11,0,-11,5,-5,11,-5,11,0,11,5,11,11,5,11,0,16,-5,16,-11,11,-16,5,-16,0,-22,-5,-16,-16,-16,-22,-5,-28,5,-28,16,-22,22,-16,33,-5,33,11,28,22,0,0,5,39,-11,39,-28,28,-33,16,-39,0,-33,-11,-28,-22,-16,-33,-5,-33,11,-33,22,-28,28,-16,33,-5,33,11,22,22,16,28,5,33,-5,28,-16,22,-28,16,-28,5,-28,-5,-22,-16,-11,-22,-5,-22,5,-22,16,-22,22,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,56,44,39,61,16,67,-5,61,-33,50,-56,22,-67,-5,-78,-39,-73,-61,-50,-84,-22,-84,11,-73,50,-50,78,-11,89,28,89,61,73,89,44,101,0,95,-44,73,-78,33,-106,-16,-112,-67,-101,-101,-73,-129,-22,-129,33,-112,84,0,0,-16,140,39,129,89,101,118,56,123,5,112,-44,84,-78,39,-106,-11,-112,-50,-95,-84,-67,-101,-22,-95,16,-78,56,-50,84,-11,95,28,89,56,73,78,39,84,5,84,-28,61,-50,33,-67,5,-73,-22,-73,-44,-56,-56,-33,-61,-11,0,0,0,0,0,0]"
1773393782.1574113,CSI_DATA,353794,98:4a:6b:31:4a:10,-51,11,-98,3,37,1,551005865,83,0,256,0,"[0,0,0,0,0,0,0,0,-6,0,-12,0,-6,0,-6,-6,-6,-6,0,-12,0,-6,12,-6,19,0,19,6,19,6,19,12,6,19,0,19,-6,12,-12,19,-19,12,-25,6,-19,-6,-25,-12,-12,-32,-6,-32,12,-38,25,-38,38,-25,58,-6,45,12,45,45,0,0,0,71,-12,51,-38,51,-58,25,-58,6,-58,-19,-45,-38,-25,-45,0,-58,12,-51,38,-38,51,-19,45,-6,45,19,45,25,19,51,6,45,-12,45,-25,32,-38,25,-38,6,-38,-12,-32,-25,-19,-38,-6,-38,12,-45,25,-25,32,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,64,90,38,103,-6,97,-38,77,-84,38,-103,0,-110,-45,-110,-97,-90,-116,-51,-129,6,-123,58,-90,103,-45,142,12,142,71,129,123,90,162,25,162,-45,129,-103,77,-155,0,-175,-64,-168,-142,-136,-188,-77,-207,6,-194,97,-136,168,0,0,6,227,103,188,168,136,201,58,201,-19,168,-97,116,-149,45,-181,-32,-175,-97,-149,-149,-97,-155,-19,-162,51,-116,110,-71,142,0,149,51,136,103,97,129,51,142,0,129,-58,97,-97,51,-116,6,-116,-51,-110,-71,-90,-90,-45,-103,-12,0,0,0,0,0,0]"
