type,id,mac,rssi,rate,noise_floor,fft_gain,agc_gain,channel,local_timestamp,sig_len,rx_state,len,first_word,data
CSI_DATA,37598,98:4a:6b:31:4a:10,-54,11,-99,-47,52,11,379327491,83,0,256,0,"[0,0,0,0,0,0,0,0,4,19,-4,19,-12,14,-16,10,-19,4,-19,-4,-16,-10,-10,-16,-4,-19,2,-21,10,-19,12,-14,16,-6,21,0,21,6,16,12,12,16,4,21,-2,23,-8,19,-14,14,-19,10,-23,2,-21,-6,-19,-14,-12,-19,-4,-21,4,-19,0,0,19,-12,16,-4,16,2,16,6,10,10,8,14,2,12,0,12,-6,12,-8,6,-10,4,-10,2,-10,0,-6,-4,-6,-6,-4,-6,-2,-8,0,-8,4,-6,4,-4,8,-4,6,0,6,0,4,2,4,4,2,6,0,4,-2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,12,21,21,16,27,6,29,-4,27,-16,19,-27,6,-33,-8,-38,-21,-29,-35,-21,-40,-6,-40,12,-33,27,-21,40,-2,46,19,44,40,33,50,14,54,-8,46,-27,31,-48,10,-57,-16,-59,-40,-50,-54,-31,-63,-6,-61,21,0,0,-25,61,2,63,25,54,46,40,54,16,52,-8,44,-29,25,-42,6,-50,-14,-44,-31,-31,-40,-14,-42,2,-35,19,-23,33,-8,38,8,38,23,29,31,16,35,2,31,-10,23,-23,12,-27,2,-27,-10,-25,-19,-19,-23,-8,-23,2,0,0,0,0,0,0]"
CSI_DATA,37599,98:4a:6b:31:4a:10,-51,11,-99,4,37,11,379337196,83,0,256,0,"[0,0,0,0,0,0,0,0,5,24,0,27,-8,24,-19,16,-21,13,-27,2,-27,-5,-21,-16,-19,-21,-8,-27,0,-30,10,-27,16,-19,24,-13,30,-8,30,2,27,13,21,19,13,27,8,30,-5,30,-16,30,-21,21,-27,10,-30,2,-30,-5,-27,-16,-16,-24,0,0,2,-30,8,-21,16,-21,24,-10,21,-5,21,0,16,5,13,10,8,13,5,16,0,16,-5,16,-5,13,-8,8,-8,2,-13,2,-13,0,-8,-2,-5,-5,-5,-10,0,-8,2,-8,2,-8,5,-5,8,-2,8,0,5,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,32,24,24,32,10,35,0,38,-16,30,-35,13,-43,-5,-46,-27,-43,-41,-27,-49,-8,-52,19,-43,41,-21,57,5,62,32,54,57,38,68,10,68,-24,52,-52,27,-71,-8,-76,-43,-68,-68,-46,-84,-10,-87,30,-65,62,-32,82,0,0,43,79,71,52,79,13,79,-21,57,-52,30,-71,-2,-71,-35,-57,-54,-38,-62,-8,-57,19,-41,46,-16,57,10,54,30,41,46,27,52,2,43,-19,32,-35,10,-43,-5,-43,-27,-38,-35,-19,-38,-2,-32,13,-27,24,-13,30,0,30,0,0,0,0,0,0]"
CSI_DATA,37600,98:4a:6b:31:4a:10,-54,11,-99,-45,52,11,379347332,83,0,256,0,"[0,0,0,0,0,0,0,0,13,13,7,17,0,19,-7,17,-13,13,-17,7,-19,1,-19,-7,-15,-13,-9,-17,-1,-19,3,-19,9,-17,15,-13,19,-7,21,0,19,7,15,13,11,19,3,21,-3,21,-9,19,-15,13,-19,7,-23,0,-21,-7,-17,-15,-9,-19,0,0,5,-19,11,-15,13,-9,15,-3,15,1,13,5,9,9,7,11,1,11,-1,9,-3,9,-7,7,-7,5,-9,1,-9,-1,-7,-3,-5,-3,-3,-5,0,-5,1,-5,3,-5,3,-5,5,-3,5,-1,5,1,5,3,3,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,23,9,25,0,25,-9,19,-21,11,-29,-1,-33,-15,-33,-27,-25,-35,-13,-39,3,-35,19,-25,33,-9,43,9,43,27,37,41,23,51,3,49,-17,37,-37,19,-51,-3,-55,-27,-51,-47,-37,-61,-15,-63,11,-51,35,-35,55,0,0,15,65,39,47,55,27,59,3,51,-21,37,-39,15,-49,-5,-49,-25,-41,-39,-25,-45,-5,-41,11,-29,29,-15,37,1,39,17,35,29,21,35,7,35,-5,27,-19,17,-27,3,-31,-7,-27,-17,-21,-23,-11,-25,-1,-23,9,-17,15,0,0,0,0,0,0]"
CSI_DATA,37601,98:4a:6b:31:4a:10,-51,11,-99,5,37,11,379356634,83,0,256,0,"[0,0,0,0,0,0,0,0,-23,-10,-15,-18,-13,-23,-2,-23,5,-26,15,-23,21,-15,26,-10,29,-2,26,10,21,21,10,26,7,29,-2,31,-10,26,-18,21,-23,15,-26,5,-29,-5,-26,-13,-23,-18,-13,-26,-2,-29,5,-34,15,-26,23,-21,26,-13,29,-2,0,0,26,18,13,21,7,23,0,23,-7,21,-13,18,-15,10,-18,5,-15,2,-18,-7,-10,-7,-7,-10,-7,-10,-2,-10,2,-10,7,-7,7,-7,7,-2,7,-2,10,0,10,2,7,5,2,7,0,10,2,7,0,7,-7,5,-7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,-10,-34,0,-37,15,-23,31,-10,39,7,45,26,37,42,23,50,5,47,-15,37,-39,18,-53,-7,-55,-34,-50,-50,-34,-63,-7,-63,21,-47,53,-21,66,10,69,42,63,66,37,79,7,77,-31,55,-63,26,-85,-10,-82,-45,-74,0,0,-87,-7,-82,31,-58,61,-26,77,7,77,39,61,63,34,69,2,63,-26,42,-47,13,-61,-13,-58,-37,-42,-53,-21,-53,2,-45,26,-29,42,-5,47,15,45,31,34,39,15,45,-5,34,-18,21,-34,7,-37,-7,-31,-21,-26,-29,-13,0,0,0,0,0,0]"
CSI_DATA,37602,98:4a:6b:31:4a:10,-54,11,-99,-46,52,11,379366185,83,0,256,0,"[0,0,0,0,0,0,0,0,8,16,0,18,-8,16,-12,12,-18,6,-20,0,-16,-6,-16,-14,-12,-16,-4,-16,2,-16,12,-16,16,-14,20,-6,20,0,18,8,16,12,8,18,2,20,-2,22,-12,18,-18,12,-24,10,-24,4,-20,-2,-16,-14,-8,-16,0,-16,0,0,12,-18,14,-12,16,-6,16,0,16,2,10,6,4,6,-2,14,-4,12,-4,14,-6,10,-8,8,-8,2,-6,2,-8,-4,-6,-6,-4,-6,-2,-8,0,-8,2,-10,2,-6,2,-6,4,0,6,0,4,2,4,4,4,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,18,18,24,10,28,2,28,-10,22,-22,14,-30,-4,-36,-20,-32,-30,-22,-41,-8,-39,6,-36,22,-22,36,-6,47,12,47,32,34,45,22,53,2,51,-22,34,-41,12,-55,-14,-53,-34,-49,-53,-28,-63,-10,-59,20,-49,47,0,0,0,69,22,57,43,41,55,18,59,-8,45,-28,26,-49,4,-47,-16,-49,-32,-32,-43,-16,-43,4,-36,20,-22,34,-10,39,8,39,22,30,32,16,34,2,32,-16,20,-24,8,-30,-4,-28,-14,-24,-22,-18,-26,-6,-24,4,-20,12,0,0,0,0,0,0]"
CSI_DATA,37603,98:4a:6b:31:4a:10,-51,11,-99,5,37,11,379375066,83,0,256,0,"[0,0,0,0,0,0,0,0,-15,15,-21,10,-23,0,-23,-10,-21,-15,-13,-23,-7,-26,5,-26,10,-21,18,-18,23,-7,26,0,29,5,23,13,15,21,10,26,2,26,-5,29,-13,21,-21,18,-26,7,-31,2,-29,-7,-29,-18,-21,-23,-10,-29,2,-29,10,-23,0,0,26,-18,29,-5,23,2,21,7,13,13,10,15,5,18,-2,13,-7,15,-10,10,-10,7,-13,7,-13,2,-10,-2,-10,-7,-7,-5,-2,-7,0,-10,0,-10,2,-5,5,-7,7,-5,10,-2,5,-2,7,2,7,5,5,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,21,-15,31,0,34,15,37,31,26,42,10,45,-5,37,-26,26,-42,7,-50,-18,-50,-37,-37,-53,-21,-58,7,-53,34,-31,55,-5,66,29,63,53,47,71,21,71,-13,58,-47,37,-63,0,-79,-34,-77,-66,-50,-85,-18,-90,15,0,0,-45,77,0,85,34,74,61,50,74,15,69,-15,53,-45,26,-58,-5,-63,-31,-53,-53,-31,-55,-5,-50,23,-31,39,-10,53,10,50,29,37,42,18,45,-2,39,-18,26,-37,5,-42,-5,-37,-23,-29,-31,-15,-31,0,-29,15,-18,23,0,0,0,0,0,0]"
CSI_DATA,37604,98:4a:6b:31:4a:10,-51,11,-99,5,37,11,379384586,83,0,256,0,"[0,0,0,0,0,0,0,0,-15,-18,-7,-23,-2,-21,10,-23,15,-18,23,-13,29,-2,26,5,21,15,18,23,7,26,0,26,-7,26,-15,21,-23,15,-26,5,-23,-2,-23,-13,-21,-21,-10,-23,0,-29,7,-29,18,-23,26,-15,26,-7,29,2,29,13,21,23,0,0,2,26,-7,23,-15,21,-18,10,-18,5,-21,-2,-18,-7,-13,-15,-7,-15,0,-15,0,-13,5,-13,7,-13,10,-5,13,-2,10,0,10,2,7,7,5,7,2,10,-5,10,-5,10,-7,7,-7,5,-7,2,-7,-2,-7,-2,-7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-21,-31,-13,-34,-2,-37,15,-26,31,-13,39,5,42,21,42,39,31,50,10,53,-7,42,-31,26,-50,2,-58,-21,-58,-42,-45,-61,-21,-66,7,-63,34,-45,58,-10,74,21,74,47,58,74,31,85,2,79,-34,61,-63,29,-85,0,0,-42,-77,-71,-47,-82,-13,-74,21,-58,50,-31,66,-2,71,29,61,50,42,61,13,58,-13,47,-34,26,-50,-2,-53,-23,-47,-39,-34,-47,-15,-47,7,-34,26,-23,39,-5,42,13,39,29,26,37,15,31,0,31,-13,23,-23,7,-31,0,0,0,0,0,0]"
CSI_DATA,37605,98:4a:6b:31:4a:10,-57,11,-99,-43,55,11,379394076,83,0,256,0,"[0,0,0,0,0,0,0,0,12,6,8,9,4,13,0,13,-8,12,-9,6,-13,4,-13,-2,-12,-5,-9,-10,-5,-13,1,-13,4,-13,10,-9,12,-5,13,-1,14,5,10,9,9,13,4,16,-1,12,-6,13,-12,10,-16,4,-16,0,-13,-8,-12,-10,-5,-13,0,0,5,-12,9,-10,10,-1,9,1,10,1,6,5,4,8,1,6,-2,8,-4,8,-4,2,-5,4,-5,1,-6,0,-5,-2,-5,-1,-4,-4,1,-4,1,-5,1,-4,4,-4,2,-2,4,0,4,1,2,1,2,1,1,4,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,18,1,18,-5,14,-12,10,-20,0,-21,-6,-24,-14,-20,-22,-14,-28,-5,-26,6,-24,18,-13,28,-4,30,10,30,22,25,30,13,37,0,32,-16,25,-30,12,-34,-2,-40,-18,-37,-32,-28,-42,-13,-46,8,-38,25,-28,36,0,0,8,46,25,37,36,20,42,5,38,-8,32,-22,18,-32,5,-33,-9,-33,-21,-26,-30,-9,-29,1,-25,16,-16,21,-6,28,5,26,16,21,20,13,25,5,24,-5,18,-13,12,-18,2,-21,-5,-20,-10,-14,-16,-8,-17,-1,-16,5,0,0,0,0,0,0]"
CSI_DATA,37606,98:4a:6b:31:4a:10,-51,11,-99,4,37,11,379402812,83,0,256,0,"[0,0,0,0,0,0,0,0,21,-16,24,-2,24,0,24,8,19,16,13,21,2,24,-8,21,-13,19,-21,13,-27,8,-27,-2,-27,-10,-19,-21,-13,-27,-5,-27,5,-30,19,-24,24,-24,27,-19,32,-2,30,2,21,19,13,30,5,38,-5,27,-10,38,-24,24,0,0,-24,2,-24,-5,-13,-16,-13,-24,-2,-19,5,-19,8,-19,8,-10,10,-8,16,-2,10,-2,13,5,13,10,13,10,5,16,2,10,0,10,-2,8,-8,8,-10,5,-13,2,-10,-2,-10,-2,-8,-8,-5,-8,0,-5,0,-5,5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,-19,16,-32,2,-32,-13,-32,-27,-24,-43,-16,-49,5,-49,21,-32,41,-13,49,10,52,27,49,52,30,57,5,62,-16,46,-41,24,-57,-2,-68,-32,-54,-57,-38,-73,-13,-73,19,-62,46,-32,68,0,84,38,84,62,54,84,24,0,0,68,-43,46,-71,10,-82,-24,-71,-54,-57,-71,-27,-71,2,-60,30,-32,49,-8,57,21,62,41,43,52,19,52,-5,41,-30,27,-43,8,-52,-16,-46,-35,-35,-43,-16,-43,2,-35,19,-24,32,-13,38,8,35,16,27,30,16,30,2,0,0,0,0,0,0]"
CSI_DATA,37607,98:4a:6b:31:4a:10,-54,11,-99,-48,53,11,379412198,83,0,256,0,"[0,0,0,0,0,0,0,0,11,5,9,9,3,11,0,13,-5,13,-11,9,-13,5,-15,0,-13,-5,-9,-9,-5,-13,-1,-15,3,-13,9,-11,11,-9,13,-3,15,1,13,7,9,11,5,13,0,15,-5,15,-9,13,-13,7,-15,1,-15,-1,-13,-7,-7,-13,0,0,1,-15,5,-13,9,-7,11,-3,11,0,9,3,7,5,5,7,1,9,0,7,-1,7,-3,5,-5,3,-5,1,-5,0,-5,-1,-3,-3,-1,-3,0,-5,0,-3,1,-3,3,-3,3,-1,3,0,3,1,3,1,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,17,0,17,-5,15,-13,7,-19,0,-23,-7,-23,-17,-19,-25,-11,-27,-1,-27,11,-21,21,-11,29,1,32,15,29,27,21,32,9,36,-5,32,-19,21,-32,5,-38,-9,-38,-25,-32,-38,-21,-44,-3,-42,15,-32,32,-19,42,0,0,17,44,32,31,40,15,42,-1,36,-19,23,-31,9,-36,-5,-34,-19,-29,-29,-17,-32,-3,-29,11,-21,21,-9,27,1,29,11,25,21,17,25,7,25,-3,21,-13,13,-19,3,-21,-3,-21,-11,-17,-15,-9,-17,-3,-17,3,-13,9,0,0,0,0,0,0]"
