type,id,mac,rssi,rate,noise_floor,fft_gain,agc_gain,channel,local_timestamp,sig_len,rx_state,len,first_word,data
CSI_DATA,94513,98:4a:6b:31:4a:10,-53,11,-98,15,37,11,959960651,83,0,256,0,"[0,0,0,0,0,0,0,0,4,-8,4,-8,4,-8,8,-6,13,-4,10,-4,13,0,8,4,13,10,10,8,10,10,6,17,4,17,-2,17,-10,17,-13,17,-17,15,-19,8,-23,6,-28,-4,-26,-15,-19,-19,-19,-26,-10,-30,0,-32,6,-32,17,-32,28,-28,0,0,36,-6,39,0,39,8,34,21,28,23,17,32,6,34,-2,34,-8,32,-17,30,-26,26,-30,15,-34,8,-32,-2,-32,-13,-28,-21,-21,-28,-13,-32,-2,-36,8,-34,17,-32,23,-26,28,-15,32,-4,34,4,30,15,21,23,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,-34,2,-39,-15,-36,-34,-28,-43,-10,-45,13,-34,30,-17,47,8,50,30,39,45,21,52,0,45,-28,28,-45,0,-58,-23,-47,-50,-32,-56,-4,-52,26,-34,47,-6,65,23,54,47,34,65,8,60,-21,43,-50,13,-65,-21,-60,0,0,-65,-19,-58,19,-43,47,-17,54,15,56,39,39,54,15,52,-15,32,-34,8,-45,-15,-45,-34,-32,-43,-6,-41,15,-26,32,-4,43,13,39,32,21,41,4,34,-15,26,-30,6,-39,-13,-36,-28,-26,-34,-6,-32,13,-23,21,-13,32,0,0,0,0,0,0]"
CSI_DATA,94514,98:4a:6b:31:4a:10,-59,11,-98,-52,60,11,959971384,83,0,256,0,"[0,0,0,0,0,0,0,0,-4,2,-4,1,-4,-1,-3,-2,-4,-3,-3,-5,-2,-5,-1,-6,1,-6,2,-6,4,-5,6,-5,7,-2,8,0,9,2,9,4,8,6,5,8,3,10,0,11,-3,11,-7,11,-10,9,-13,6,-15,1,-16,-1,-15,-7,-12,-11,0,0,-3,-18,2,-18,6,-16,11,-13,13,-10,16,-5,16,-1,16,3,13,8,10,11,7,14,4,15,-1,16,-5,14,-9,12,-13,8,-14,5,-15,0,-15,-5,-13,-8,-9,-12,-5,-15,-1,-15,5,-14,9,-11,12,-8,14,-3,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,2,-18,10,-12,18,-4,23,7,22,16,18,23,9,26,-2,22,-14,14,-22,2,-27,-10,-25,-21,-19,-27,-6,-27,7,-22,20,-10,28,4,29,19,25,29,12,31,-1,27,-15,16,-27,1,-33,-14,-30,-27,-20,-33,-6,-33,11,0,0,-9,33,7,30,21,24,28,10,28,-4,21,-15,10,-24,-2,-25,-14,-21,-21,-10,-23,1,-18,11,-9,19,2,21,11,18,19,9,20,0,18,-10,10,-16,1,-20,-8,-18,-14,-11,-19,-3,-18,6,-13,12,-6,16,3,15,11,13,0,0,0,0,0,0]"
CSI_DATA,94515,98:4a:6b:31:4a:10,-53,11,-98,13,37,11,959981094,83,0,256,0,"[0,0,0,0,0,0,0,0,-6,-4,-9,-4,-6,-6,-4,-9,-2,-11,4,-13,4,-11,9,-9,13,-6,13,-2,18,0,13,6,18,6,11,13,9,23,2,20,-6,20,-13,20,-16,18,-23,11,-27,2,-27,-4,-27,-9,-20,-23,-13,-29,-6,-32,4,-32,18,-29,0,0,34,-23,36,0,39,9,34,18,27,25,18,32,4,34,-4,39,-18,32,-23,25,-32,16,-34,6,-34,-2,-29,-16,-25,-23,-13,-34,-4,-36,4,-34,16,-32,27,-23,32,-16,36,-4,34,9,27,18,23,29,6,34,-6,32,-16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,-29,-41,-11,-41,4,-39,27,-25,36,-6,48,13,50,34,39,50,20,50,-2,46,-23,32,-43,6,-52,-18,-50,-39,-41,-52,-20,-57,6,-46,34,-27,55,4,59,25,59,52,34,66,11,62,-20,46,-46,25,-64,-6,-71,-39,-57,0,0,-69,-4,-59,29,-39,50,-9,59,18,57,41,41,52,16,50,-11,34,-32,18,-46,-4,-46,-25,-39,-41,-20,-46,2,-36,20,-20,39,-4,46,16,41,32,27,39,6,41,-9,32,-27,16,-39,0,-39,-18,-32,-32,-20,-36,-4,-36,11,0,0,0,0,0,0]"
CSI_DATA,94516,98:4a:6b:31:4a:10,-53,11,-98,19,37,11,959990917,83,0,256,0,"[0,0,0,0,0,0,0,0,3,1,5,5,7,7,3,9,0,11,-3,9,-1,11,-5,9,-9,9,-13,5,-15,0,-17,-1,-15,-3,-17,-7,-15,-15,-7,-21,-3,-21,1,-25,11,-23,15,-21,19,-17,25,-13,27,-5,32,7,32,15,25,21,23,32,1,42,0,0,-13,32,-21,29,-27,23,-34,7,-38,7,-36,-7,-32,-13,-27,-25,-15,-31,-9,-32,1,-34,7,-34,17,-29,25,-21,29,-15,32,-3,38,1,31,17,23,21,15,27,5,34,-1,36,-13,32,-23,23,-29,19,-31,7,-29,-3,-29,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,38,15,42,-3,34,-27,21,-40,3,-46,-21,-42,-38,-31,-50,-13,-50,11,-38,34,-21,50,9,50,32,46,48,27,56,0,50,-29,29,-50,1,-58,-29,-52,-50,-32,-60,-11,-58,25,-40,52,-11,65,21,65,50,46,69,15,0,0,42,-48,23,-63,-9,-62,-38,-46,-54,-23,-54,3,-44,31,-17,52,7,48,27,38,42,19,44,-7,34,-23,17,-38,-7,-42,-25,-32,-34,-15,-42,5,-34,23,-15,38,3,40,15,32,31,19,36,1,34,-17,21,-31,5,-34,-9,-38,0,0,0,0,0,0]"
CSI_DATA,94517,98:4a:6b:31:4a:10,-59,11,-98,-51,60,11,960000267,83,0,256,0,"[0,0,0,0,0,0,0,0,-2,-3,1,-4,0,-5,1,-3,3,-4,5,-3,7,-3,4,-1,5,-1,6,0,5,5,4,7,2,6,2,9,0,9,-5,8,-7,8,-9,5,-11,4,-9,0,-13,-3,-11,-8,-7,-10,-6,-12,-3,-15,3,-15,9,-15,12,-11,0,0,18,0,17,3,15,10,13,14,8,14,2,14,-1,16,-7,16,-10,14,-13,11,-16,4,-14,2,-16,-5,-13,-8,-9,-13,-5,-15,1,-16,2,-14,7,-13,12,-10,15,-4,16,1,15,6,11,9,10,12,2,14,-1,14,-6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-20,-13,-16,-20,-10,-24,0,-21,9,-17,19,-6,24,3,25,14,20,23,12,27,1,25,-10,16,-23,5,-26,-8,-27,-21,-22,-29,-10,-28,4,-25,19,-11,27,0,31,16,27,27,17,33,5,29,-12,22,-26,8,-34,-8,-32,0,0,-30,-11,-32,2,-26,19,-13,28,0,27,12,22,21,14,24,2,22,-10,13,-17,2,-22,-7,-19,-18,-14,-22,-4,-18,7,-12,16,-3,19,4,19,12,13,18,7,19,-2,16,-10,10,-16,-1,-19,-7,-16,-16,-11,-16,-4,-16,5,0,0,0,0,0,0]"
CSI_DATA,94518,98:4a:6b:31:4a:10,-59,11,-98,-52,60,11,960009568,83,0,256,0,"[0,0,0,0,0,0,0,0,4,-2,4,-2,4,1,4,2,4,2,4,3,3,5,1,5,0,6,-2,6,-4,5,-6,5,-7,2,-8,0,-9,-1,-7,-4,-6,-7,-4,-10,-1,-10,2,-11,5,-10,9,-9,11,-6,13,-2,14,3,13,8,11,12,6,15,0,0,-5,16,-8,14,-13,11,-15,5,-16,1,-15,-4,-13,-8,-10,-12,-5,-14,0,-15,4,-14,8,-12,11,-9,14,-5,15,0,14,4,12,9,8,12,4,14,0,15,-6,14,-10,11,-13,7,-15,2,-13,-4,-11,-7,-8,-11,-3,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,-8,13,-15,7,-21,-3,-23,-11,-19,-19,-14,-24,-5,-25,6,-21,15,-11,24,0,27,10,25,22,18,27,6,27,-5,23,-18,12,-25,-1,-30,-14,-26,-25,-18,-30,-5,-29,9,-23,21,-11,30,5,33,18,28,29,18,34,2,0,0,22,-25,9,-30,-5,-29,-19,-23,-25,-12,-26,1,-22,12,-13,21,-1,24,9,22,18,13,21,4,20,-6,14,-14,5,-20,-5,-19,-12,-16,-18,-7,-19,2,-15,11,-10,16,-2,19,5,18,12,13,16,5,18,-2,14,-7,9,-13,0,0,0,0,0,0]"
CSI_DATA,94519,98:4a:6b:31:4a:10,-53,11,-98,14,37,11,960019185,83,0,256,0,"[0,0,0,0,0,0,0,0,11,-2,8,-2,11,0,6,8,6,6,8,11,4,15,0,15,-4,15,-6,8,-11,8,-13,6,-17,2,-24,-4,-15,-6,-17,-8,-13,-15,-13,-24,-4,-22,0,-22,11,-29,17,-22,24,-20,26,-11,31,0,33,8,24,20,22,33,0,0,2,35,-6,35,-20,35,-31,22,-33,15,-38,4,-35,-2,-38,-13,-24,-15,-20,-24,-13,-33,-2,-33,8,-35,15,-29,26,-20,29,-13,31,-4,38,4,31,15,20,24,13,31,4,31,-6,33,-15,26,-20,20,-31,11,-33,2,-33,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,35,-11,31,-29,15,-42,-4,-42,-24,-38,-35,-24,-51,-4,-47,22,-35,40,-13,49,11,49,35,40,55,20,51,-6,42,-29,26,-49,0,-53,-26,-55,-47,-33,-62,-6,-55,24,-33,47,-11,62,24,62,44,44,64,20,62,-15,0,0,26,-58,-6,-58,-35,-53,-53,-29,-53,0,-42,26,-20,42,2,49,22,40,40,22,49,4,40,-20,24,-31,2,-42,-17,-40,-35,-24,-35,-6,-40,17,-22,31,-6,38,15,38,24,26,35,13,33,-4,26,-17,15,-35,0,-31,-15,-31,0,0,0,0,0,0]"
CSI_DATA,94520,98:4a:6b:31:4a:10,-59,11,-98,-45,59,11,960028940,83,0,256,0,"[0,0,0,0,0,0,0,0,1,-3,3,-2,3,-1,4,0,4,0,4,1,4,2,3,3,2,5,0,6,0,6,-2,6,-4,5,-6,3,-8,2,-9,0,-9,-2,-8,-5,-6,-8,-3,-10,0,-12,3,-12,8,-11,11,-8,14,-5,16,-1,17,2,14,8,0,0,6,16,0,17,-3,17,-8,14,-12,11,-15,5,-15,1,-15,-2,-13,-7,-10,-11,-7,-13,-2,-15,0,-15,6,-14,11,-10,13,-6,15,-2,15,1,14,7,11,11,7,14,1,16,-3,15,-8,12,-11,8,-14,3,-15,0,-13,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-15,6,-20,0,-21,-10,-20,-18,-13,-24,-4,-24,5,-20,15,-12,23,0,26,10,25,21,16,28,6,28,-6,21,-18,11,-26,-1,-28,-15,-25,-26,-16,-31,-2,-29,11,-20,24,-7,31,6,31,21,25,31,12,34,-2,31,-17,0,0,3,-34,-11,-30,-23,-20,-29,-7,-27,6,-20,17,-9,24,2,25,15,20,21,10,23,0,17,-11,10,-18,0,-21,-10,-18,-13,-5,-20,-1,-18,7,-12,15,-4,19,4,19,12,14,17,6,18,-1,15,-8,10,-15,1,-16,-4,-16,0,0,0,0,0,0]"
CSI_DATA,94521,98:4a:6b:31:4a:10,-60,11,-98,-52,60,11,960040244,83,0,256,0,"[0,0,0,0,0,0,0,0,-4,-1,-3,-1,-2,-4,-2,-4,-2,-4,0,-5,0,-5,3,-5,4,-4,6,-3,6,-2,7,-1,8,0,7,3,7,4,6,7,4,9,0,10,-2,10,-6,12,-7,10,-10,7,-12,4,-14,0,-14,-3,-13,-9,-11,-10,-5,-14,0,0,3,-18,5,-18,12,-13,15,-9,18,-5,16,-1,15,3,13,8,11,10,6,13,3,15,-1,14,-5,13,-9,12,-12,9,-15,6,-15,3,-15,-2,-13,-7,-9,-11,-6,-13,-1,-16,2,-15,8,-12,11,-10,13,-6,14,-1,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,-9,-21,-1,-20,8,-15,16,-6,22,5,24,14,20,23,11,26,-1,23,-12,14,-22,4,-27,-9,-26,-21,-19,-27,-6,-27,7,-21,20,-8,27,5,30,20,23,27,11,31,-4,26,-16,13,-29,0,-33,-16,-29,-28,-18,-34,-1,0,0,-19,27,-3,30,10,28,24,20,27,5,24,-9,18,-19,4,-23,-8,-23,-15,-16,-24,-6,-21,6,-13,13,-5,19,7,19,15,14,19,4,19,-5,13,-14,5,-20,-4,-19,-13,-12,-16,-5,-15,2,-14,10,-7,15,0,18,8,15,0,0,0,0,0,0]"
CSI_DATA,94522,98:4a:6b:31:4a:10,-59,11,-98,-45,59,11,960049956,83,0,256,0,"[0,0,0,0,0,0,0,0,3,-1,3,0,3,0,3,1,3,2,3,4,1,5,0,5,0,6,-2,6,-3,4,-4,4,-6,1,-7,0,-9,0,-8,-3,-8,-6,-5,-8,-2,-10,0,-10,3,-11,7,-10,11,-8,14,-4,15,0,15,4,14,10,9,13,0,0,0,18,-4,17,-10,14,-13,11,-15,7,-16,1,-16,-2,-14,-6,-10,-12,-6,-13,-2,-15,0,-15,5,-13,10,-11,12,-8,14,-3,15,1,14,5,11,10,8,13,2,15,0,15,-6,14,-10,10,-14,6,-15,0,-14,-3,-12,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,-5,16,-13,9,-20,0,-23,-9,-21,-18,-16,-23,-5,-25,4,-21,15,-12,23,0,28,10,24,22,17,28,5,27,-6,21,-18,9,-28,-3,-29,-17,-25,-28,-13,-31,0,-28,13,-18,26,-4,31,10,33,24,24,32,10,34,-5,0,0,14,-30,0,-32,-14,-27,-25,-15,-28,-2,-24,10,-15,20,-4,24,8,23,17,16,22,4,20,-4,14,-14,5,-19,-5,-20,-14,-15,-18,-6,-20,2,-15,11,-8,17,0,20,9,16,14,9,18,2,17,-4,12,-12,4,-15,-1,-16,0,0,0,0,0,0]"
